姓名,省/直辖市,市/区,医院,科室类别,科室,职称,教育职称,综合推荐热度,在线问诊量,擅长,个人网站总访问,个人网站总文章,个人网站总患者,微信诊后报道患者,总诊后报到患者,诊后服务星,诊治后患者数,随访中患者数
陈韵岱,北京,海淀,中国人民解放军总医院(301医院),内科,心血管内科,,,,,,,,,,,,,
汪奇,北京,海淀,中国人民解放军总医院(301医院),内科,心血管内科,副主任医师,副教授,4.9,7122,1冠心病治疗与复杂支架手术，完全闭塞，钙化旋磨，支架再狭窄等；2介入无植入，严重狭窄不植入支架；3冠脉CT深度解读；4房颤，左心耳封堵术；5心血管疑难杂症。,"3,604,404次",36篇,7122位,3140位,3265位,3,3792例,3218例
王广义,北京,海淀,中国人民解放军总医院(301医院),内科,心血管内科,主任医师,教授,4.1,5139,1.介入治疗先天性心脏病（房间隔缺损封堵术；动脉导管未闭封堵术；室间隔缺损封堵术；卵圆孔未闭封堵术；先心病外科开胸术后残余漏; 经导管介入急性心肌梗死导致的室间隔穿孔封堵术）。2.高血压病，冠心病，各种类型的心绞痛，高脂血症，急性心肌梗塞、心力衰竭，心源性休克，各种类型心律失常治疗。3.瓣膜病（1，经皮二尖瓣狭窄球囊扩张术。2，经皮主动脉瓣狭窄球囊扩张术。3，经皮三尖瓣狭窄球囊扩张术。4，经皮肺动脉瓣狭窄球囊扩张术。5，TAVI或TAVR。6，经皮肺动脉关闭不全支架瓣膜植入术。7。经导管二尖瓣关闭不全夹合术。8，经皮瓣周漏封堵术)。4.经导管肺动静脉瘘栓塞术。5.经导管冠状动脉瘘及冠状动脉肺动脉瘘栓塞术。6.房颤，左心耳封堵术。7.介入封堵前列腺动脉治疗前列腺增生，尿潴留及栓塞前列腺动脉预防前列腺癌(巨大前列腺增生及PSA明显增高的患者)发生。8.PCl。9.经导管主动脉窦瘤破裂封堵术。10.肺栓塞，肺高压药物治疗及介入治疗。11.经皮主动脉缩窄球囊扩张术及支架植入术。12.经皮外周动脉狭窄球囊扩张术及支架植入术。,"4,710,766次",632篇,5139位,1604位,1673位,3,1975例,1435例
张然,北京,海淀,中国人民解放军总医院(301医院),内科,心血管内科,副主任医师,副教授,3.9,1521,冠心病介入诊断和治疗，特别是左主干病变，分叉病变，钙化病变和慢性闭塞病变等复杂高危冠心病介入治疗；肾动脉狭窄介入治疗；高血压患者的药物治疗；心肌病和心力衰竭患者的药物治疗。限成人患者。,"567,424次",7篇,1521位,888位,890位,,,
曹丰,北京,海淀,中国人民解放军总医院(301医院),内科,心血管内科,主任医师,教授,3.7,2750,冠心病的诊断及治疗，尤其擅长冠心病心绞痛心肌梗死的介入治疗，对难治性心力衰竭，心律失常，心肌病的诊断及治疗有丰富经验，精通心血管影像学,"2,172,559次",5篇,2750位,713位,741位,,,
王玉堂,北京,海淀,中国人民解放军总医院(301医院),内科,心血管内科,主任医师,教授,3.6,3,"心律失常和晕厥诊治.擅长射频消融治疗,安装ICD预防心脏性猝死及CRT抗心衰起搏器治疗等","58,675次",0篇,3位,0位,0位,,,
刘秀华,北京,海淀,中国人民解放军总医院(301医院),内科,心血管内科,主任医师,教授,3.6,67,高血压、冠心病和微血管病的诊治,"2,694次",1篇,67位,63位,63位,2,47例,37例
王禹,北京,海淀,中国人民解放军总医院(301医院),内科,心血管内科,主任医师,教授,3.6,1351,复杂疑难冠心病、心绞痛、心肌缺血的介入诊治及综合药物治疗；肾动脉、髂动脉、锁骨下动脉狭窄支架治疗。,"2,676,705次",7篇,1351位,0位,37位,,,
任艺虹,北京,海淀,中国人民解放军总医院(301医院),内科,心血管内科,主任医师,教授,3.6,1061,胸闷及冠心病诊断治疗，包括冠状动脉、肾动脉的介入治疗。高血压诊断治疗。心力衰竭的诊断治疗等。高脂血症诊断治疗等。,"464,590次",0篇,1061位,14位,31位,,,
刘宏斌,北京,海淀,中国人民解放军总医院(301医院),内科,心血管内科,主任医师,教授,3.6,706,对心血管疾病的诊治有着丰富的经验，长期致力于冠心病的诊治和介入治疗，急性心肌梗死及重症心脏病的救治，擅长合并多脏器功能不全的高危冠心病的介入治疗。,"692,248次",0篇,706位,0位,6位,,,
