姓名,省/直辖市,市/区,医院,科室类别,科室,职称,教育职称,综合推荐热度,在线问诊量,擅长,个人网站总访问,个人网站总文章,个人网站总患者,微信诊后报道患者,总诊后报到患者,诊后服务星,诊治后患者数,随访中患者数
杨弋,吉林,长春,吉林大学第一医院,内科,神经内科,主任医师,教授,3.6,,头晕、头痛及各类脑血管疾病的诊治，尤其对脑出血、脑动脉狭窄、进展性卒中等脑血管病有较深入研究,,,,,,,,
冯加纯,吉林,长春,吉林大学第一医院,内科,神经内科,主任医师,教授,3.6,,脑血管病、血管性痴呆、酒中毒、头痛、眩晕症等,,,,,,,,
林卫红,吉林,长春,吉林大学第一医院,内科,神经内科,主任医师,教授,3.9,233,各种类型癫痫的诊断及治疗,"129,496次",0篇,233位,203位,208位,,,
吴江,吉林,长春,吉林大学第一医院,内科,神经内科,主任医师,教授,3.6,,脑血管病、颅内静脉系统血栓、老年期痴呆、神经系统变性疾病等,,,,,,,,
张昱,吉林,长春,吉林大学第一医院,内科,神经内科,主任医师,教授,3.6,,老年期痴呆、脑血管病及变性疾病的诊断及治疗,,,,,,,,
崔俐,吉林,长春,吉林大学第一医院,内科,神经内科,主任医师,教授,3.6,,各种类型癫痫及难治性癫痫的诊断治疗及脑血管病,,,,,,,,
胡林森,吉林,长春,吉林大学第一医院,内科,神经内科,主任医师,教授,3.6,,神经变性疾病、神经蛋白质组学,,,,,,,,
刘群,吉林,长春,吉林大学第一医院,内科,神经内科,主任医师,教授,3.6,,治疗脑梗塞、脑出血、格林—巴利综合征、多发性硬化及头痛疾病,,,,,,,,
孟红梅,吉林,长春,吉林大学第一医院,内科,神经内科,主任医师,教授,3.6,,癫痫、脑血管病、脱髓鞘疾病、神经系统感染性疾病、周围神经病的诊断、治疗以及癫痫持续状态、格林-巴利综合征的抢救,,,,,,,,
赵节绪,吉林,长春,吉林大学第一医院,内科,神经内科,主任医师,教授,3.6,,脑血管病、神经变性疾病、周围神经病、神经系统感染疾病及疑难杂症,,,,,,,,
刘亢丁,吉林,长春,吉林大学第一医院,内科,神经内科,主任医师,教授,3.6,69,对神经系统各种疾病的诊断、危重病人的抢救、疑难病的诊断均具有较丰富的临床经验，特别在缺血性脑血管病、神经系统变性疾病等方面,"20,673次",0篇,69位,0位,0位,,,
宋晓南,吉林,长春,吉林大学第一医院,内科,神经内科,主任医师,教授,3.6,,周围神经病、脑血管病的诊断及治疗工作，有丰富的临床经验,,,,,,,,
江新梅,吉林,长春,吉林大学第一医院,内科,神经内科,主任医师,教授,3.6,,肌肉与周围神经病的临床病理诊断,,,,,,,,
饶明俐,吉林,长春,吉林大学第一医院,内科,神经内科,主任医师,教授,3.6,,对脑血管疾病、脑炎及脱髓鞘疾病,,,,,,,,
孙莉,吉林,长春,吉林大学第一医院,内科,神经内科,主任医师,副教授,3.6,,老年期痴呆尤其是血管性痴呆的研究,,,,,,,,
朱辉,吉林,长春,吉林大学第一医院,内科,神经内科,主任医师,副教授,3.5,,在脑血管病的神经介入治疗及急重症患者的抢救有着丰富的临床经验,,,,,,,,
马涤辉,吉林,长春,吉林大学第一医院,内科,神经内科,主任医师,教授,3.5,,脑血管病、老年性痴呆、中枢神经系统感染,,,,,,,,
王守春,吉林,长春,吉林大学第一医院,内科,神经内科,主任医师,教授,3.5,,缺血性脑血管病的介入治疗、脑出血血肿钻孔碎吸治疗和痴呆的诊治,,,,,,,,
