姓名,省/直辖市,市/区,医院,科室类别,科室,职称,教育职称,综合推荐热度,在线问诊量,擅长,个人网站总访问,个人网站总文章,个人网站总患者,微信诊后报道患者,总诊后报到患者,诊后服务星,诊治后患者数,随访中患者数
陈燕,新疆,克拉玛依,克拉玛依市中心医院,内科,呼吸科,主任医师,副教授,3.2,,呼吸危重症救治、肺部疑难病诊治（肺血管病、肺间质性疾病、肺部结节等）、气管镜检查及治疗,,,,,,,,
何忠明,新疆,克拉玛依,克拉玛依市中心医院,内科,呼吸科,主任医师,,3.4,,擅长于睡眠呼吸障碍性疾病，各种睡眠障碍，慢性阻塞性肺疾病等呼吸系统常见疾病及各种原因引起的急、慢性呼吸衰竭的诊治,,,,,,,,
雷清生,新疆,克拉玛依,克拉玛依市中心医院,内科,呼吸科,主任医师,副教授,3.2,,纤维支管镜检查、诊断、治疗；肺癌、哮喘、慢阻肺、肺心病、弥漫性肺部疾病,,,,,,,,
宋玉玲,新疆,克拉玛依,克拉玛依市中心医院,内科,呼吸科,副主任医师,,3.1,,结核病、呼吸内科,,,,,,,,
李鸿霞,新疆,克拉玛依,克拉玛依市中心医院,内科,呼吸科,主任医师,,3.1,,纤维支气管镜检查，重症监护机械通气治疗，睡眠疾病诊治，支 气管哮喘诊治，COPD诊治，肺栓塞诊治，等呼吸系统常见病多发病的诊断治疗,,,,,,,,
郭红,新疆,克拉玛依,克拉玛依市中心医院,内科,呼吸科,主任医师,,3.1,,擅长呼吸系统常见病的诊断和治疗,,,,,,,,
朱造荣,新疆,克拉玛依,克拉玛依市中心医院,内科,呼吸科,副主任医师,,3.0,,,,,,,,,,
周黎黎,新疆,克拉玛依,克拉玛依市中心医院,内科,消化内分泌科,主任医师,,3.0,,内科疑难、危重症,,,,,,,,
赵迎春,新疆,克拉玛依,克拉玛依市中心医院,内科,消化内分泌科,副主任医师,,2.9,,甲状腺疾病、糖尿病,,,,,,,,
象仁欠,新疆,克拉玛依,克拉玛依市中心医院,内科,消化内分泌科,主任医师,,2.8,,消化内镜诊断及镜下介入治疗,,,,,,,,
刘光英,新疆,克拉玛依,克拉玛依市中心医院,内科,消化内分泌科,副主任医师,,2.8,,内镜操作、消化系统疾病,,,,,,,,
崔童,新疆,克拉玛依,克拉玛依市中心医院,内科,消化内分泌科,副主任医师,,2.8,,擅长消化危重症救治，消化内镜的早期精查，消化内镜下治疗（包括内镜止血、食管静脉曲张套扎、胃底静脉组织胶注射、EMR等）等,,,,,,,,
阳新,新疆,克拉玛依,克拉玛依市中心医院,内科,消化内分泌科,,,2.7,,糖尿病及并发症、肥胖、代谢综合症，甲状腺疾病，肾上腺疾病等诊断及治疗工作,,,,,,,,
梁文宝,新疆,克拉玛依,克拉玛依市中心医院,内科,神经内科,副主任医师,,3.0,,擅长脑血管病的介入诊断和治疗,,,,,,,,
许风雷,新疆,克拉玛依,克拉玛依市中心医院,内科,神经内科,主任医师,,2.9,,擅长脑血管疾病、肌张力障碍性疾病的诊治,,,,,,,,
王力,新疆,克拉玛依,克拉玛依市中心医院,内科,神经内科,副主任医师,,2.9,,,,,,,,,,
热衣汗,新疆,克拉玛依,克拉玛依市中心医院,内科,神经内科,副主任医师,,2.9,,脑血管病、癫痫、神经系统感染性疾病,,,,,,,,
李建玲,新疆,克拉玛依,克拉玛依市中心医院,内科,神经内科,主任医师,,2.9,,擅长脑血管病、周围神经病及癫痫等疾患诊治,,,,,,,,
罗瑞,新疆,克拉玛依,克拉玛依市中心医院,内科,神经内科,住院医师,,2.7,,,,0篇,0位,0位,0位,,,
冯梅,新疆,克拉玛依,克拉玛依市中心医院,内科,急救中心,主任医师,,2.9,,擅长急救领域常见病、多发病、疑难病症的诊断与治疗等,,,,,,,,
叶舟,新疆,克拉玛依,克拉玛依市中心医院,内科,急救中心,主任医师,,3.0,,,,,,,,,,
陈垦,新疆,克拉玛依,克拉玛依市中心医院,内科,急救中心,主任医师,,3.0,,多发伤的救治及急性重症胰腺炎,,,,,,,,
陶玲,新疆,克拉玛依,克拉玛依市中心医院,内科,急救中心,主任医师,,2.9,,急救内科及危重症,,,,,,,,
穆沙,新疆,克拉玛依,克拉玛依市中心医院,内科,急救中心,副主任医师,,2.8,,普外科和急诊外科,,,,,,,,
王毅,新疆,克拉玛依,克拉玛依市中心医院,内科,感染科,主任医师,,3.0,,急慢性肝炎、肝硬化,,,,,,,,
彭朝荣,新疆,克拉玛依,克拉玛依市中心医院,内科,感染科,主任医师,,2.9,,擅长肝硬化合并上消化道出血、肝肾综合征、肝性脑病、原发性腹膜炎、电解质紊乱、原发性肝癌等,,,,,,,,
杨奇帅,新疆,克拉玛依,克拉玛依市中心医院,内科,感染科,主任医师,,2.9,,对病毒性肝炎和艾滋病及其并发症的临床诊治亦有较深的研究,,,,,,,,
马凌,新疆,克拉玛依,克拉玛依市中心医院,内科,感染科,副主任医师,,2.9,,心血管病、结核病,,,,,,,,
朴贞秀,新疆,克拉玛依,克拉玛依市中心医院,内科,感染科,,,2.8,,病毒性肝炎，肝硬化，脂肪肝等急、慢性肝病,,,,,,,,
宋艳芳,新疆,克拉玛依,克拉玛依市中心医院,内科,肾病风湿科,主任医师,副教授,3.1,,主要从事肾脏病、风湿系统疾病、血液净化技术等方面的诊断和治疗,,,,,,,,
环文英,新疆,克拉玛依,克拉玛依市中心医院,内科,肾病风湿科,主任医师,,3.0,,痛风、类风湿关节炎、强直性脊柱炎、骨质疏松和干燥综合征的诊治,,,,,,,,
张红,新疆,克拉玛依,克拉玛依市中心医院,内科,肾病风湿科,主任医师,,2.9,,肾病、风湿性疾病,,,,,,,,
张奇峰,新疆,克拉玛依,克拉玛依市中心医院,内科,肾病风湿科,主任医师,,2.8,,"风湿免疫性疾病,以类风湿关节炎、强直性脊柱炎为主的诊断和治疗等",,,,,,,,
高锦风,新疆,克拉玛依,克拉玛依市中心医院,内科,内科,副主任医师,,2.9,,神经内科、老年病,,,,,,,,
宋镇,新疆,克拉玛依,克拉玛依市中心医院,内科,内科,主任医师,,2.8,,内科肾脏疾病,,,,,,,,
高庆江,新疆,克拉玛依,克拉玛依市中心医院,内科,内科,主任医师,,2.8,,内科老年疾病的防治及恶性肿瘤化疗,,,,,,,,
古力巴克.铁朱诺夫,新疆,克拉玛依,克拉玛依市中心医院,内科,内科,副主任医师,,2.8,,心血管疾病,,,,,,,,
贺军,新疆,克拉玛依,克拉玛依市中心医院,内科,心血管内科,主任医师,,2.9,1,心血管内科常见病、多发病、疑难病,,0篇,0位,0位,0位,,,
苟志平,新疆,克拉玛依,克拉玛依市中心医院,内科,心血管内科,副主任医师,,2.9,,冠心病，心律失常，高血压以及心血管,,,,,,,,
林玺安,新疆,克拉玛依,克拉玛依市中心医院,内科,心血管内科,主任医师,,2.9,,冠心病、高血压病、心律失常,,,,,,,,
刘晓红,新疆,克拉玛依,克拉玛依市中心医院,内科,心血管内科,主任医师,,2.8,,老年心血管疾病,,,,,,,,
何桂英,新疆,克拉玛依,克拉玛依市中心医院,内科,高压氧科,副主任医师,,2.9,,内科常见病诊断治疗，高压氧诊疗学,,,,,,,,
廖燚,新疆,克拉玛依,克拉玛依市中心医院,外科,骨科,主任医师,,3.2,,脊柱外科疾病，关节外科疾病，骨创伤等疾病的诊治,"4,504次",0篇,0位,0位,0位,,,
张德华,新疆,克拉玛依,克拉玛依市中心医院,外科,骨科,副主任医师,,2.9,3,创伤，关节疾病等,"2,172次",0篇,3位,0位,0位,,,
付新民,新疆,克拉玛依,克拉玛依市中心医院,外科,骨科,主任医师,,2.9,,骨科(四肢和脊柱)的常见病和多发病，尤其在四肢骨、关节、神经、血管，肌腱的创伤和病损的修复与功能锻重建,,,,,,,,
汪少波,新疆,克拉玛依,克拉玛依市中心医院,外科,骨科,主任医师,,2.9,,熟练开展脊柱疾患的各类手术以及通道系统、MED、椎间孔镜等各种脊柱微创手术。人工髋、膝关节置换术，四肢骨折的微创手术等,,,,,,,,
巴雪峰,新疆,克拉玛依,克拉玛依市中心医院,外科,骨科,主任医师,,2.9,,擅长各种类型骨质疏松疾病的诊断和治疗。对常见脊柱伤病及四肢创伤骨折的诊断治疗有较丰富的临床经验,,,,,,,,
