姓名,省/直辖市,市/区,医院,科室类别,科室,职称,教育职称,综合推荐热度,在线问诊量,擅长,个人网站总访问,个人网站总文章,个人网站总患者,微信诊后报道患者,总诊后报到患者,诊后服务星,诊治后患者数,随访中患者数
宋新平,新疆,吐鲁番,鄯善县人民医院,内科,内科,主任医师,,2.8,,高血压，急慢性心衰，冠心病，心律失常，心肌病，高血脂等内科常见疾病的诊治,"5,587次",0篇,0位,0位,0位,,,
张新丽,新疆,吐鲁番,鄯善县人民医院,内科,内科,主任医师,,3.0,364,普通内科常见疾病的诊治，如心脑血管疾病，糖尿病，高血压，心衰等,"57,496次",9篇,364位,360位,360位,,,
李向毅,新疆,吐鲁番,鄯善县人民医院,内科,内科,副主任医师,,2.8,,高血压、心血管疾病,"4,162次",0篇,0位,0位,0位,,,
热比古丽·卡得尔,新疆,吐鲁番,鄯善县人民医院,内科,内科,副主任医师,,2.8,1,普通内科常见疾病的诊治，如心脑血管疾病，头痛头晕，糖尿病，高血压，心衰等,"6,210次",0篇,1位,1位,1位,,,
李杏花,新疆,吐鲁番,鄯善县人民医院,内科,内科,主治医师,,2.7,3,高血压，急慢性心衰，冠心病，心律失常，心肌病，高血脂等内科常见疾病的诊治,"8,022次",0篇,3位,3位,3位,,,
刘海邦,新疆,吐鲁番,鄯善县人民医院,内科,内科,主治医师,,2.7,1,普通内科常见疾病的诊治，如高血压，高血脂，冠心病，糖尿病等,"7,626次",0篇,1位,0位,0位,,,
张志云,新疆,吐鲁番,鄯善县人民医院,内科,内科,主治医师,,2.7,,高血压，急慢性心衰，冠心病，心律失常，心肌病，高血脂等内科常见疾病的诊治,"3,776次",0篇,0位,0位,0位,,,
吕康,新疆,吐鲁番,鄯善县人民医院,内科,内科,主治医师,,2.7,,普通内科常见疾病的诊治，如高血压，高血脂，冠心病，糖尿病等,"3,939次",0篇,0位,0位,0位,,,
阿娅提古丽·亚森,新疆,吐鲁番,鄯善县人民医院,内科,内科,住院医师,,2.7,,高血压，冠心病，哮喘等内科疾病的诊治,"3,896次",0篇,0位,0位,0位,,,
阿巴白克力·依明尼牙孜,新疆,吐鲁番,鄯善县人民医院,内科,内科,主治医师,,2.7,3,普通内科常见疾病的诊治，如高血压，高血脂，冠心病，糖尿病，慢阻肺，哮喘等,"5,756次",0篇,3位,3位,3位,,,
