姓名,省/直辖市,市/区,医院,科室类别,科室,职称,教育职称,综合推荐热度,在线问诊量,擅长,个人网站总访问,个人网站总文章,个人网站总患者,微信诊后报道患者,总诊后报到患者,诊后服务星,诊治后患者数,随访中患者数
晏文红,新疆,哈密,哈密市第二人民医院,内科,心血管内科,主任医师,,2.8,22,高血压，急慢性心衰，冠心病，心律不齐，心肌病，高血脂等常见疾病的诊治,"28,760次",6篇,22位,21位,22位,,,
张瑞,新疆,哈密,哈密市第二人民医院,内科,心血管内科,主治医师,,2.7,,高血压，急慢性心衰，冠心病，心律不齐，心肌病，高血脂等常见疾病的诊治,"7,051次",0篇,0位,0位,0位,,,
校卫东,新疆,哈密,哈密市第二人民医院,内科,心血管内科,副主任医师,,2.5,,心脑血管疾病及顽固性高血压疾病的诊治。,,,,,,,,
刘秉弘,新疆,哈密,哈密市第二人民医院,内科,心血管内科,副主任医师,,2.5,,冠心病、心力衰竭、高血压的诊断与治疗。,,,,,,,,
李焱,新疆,哈密,哈密市第二人民医院,内科,心血管内科,副主任医师,,2.5,1,种内分泌及代谢性疾病的诊断和治疗，如糖尿病、甲状腺疾病、骨质疏松症等。,423次,0篇,1位,1位,1位,,,
李艳斌,新疆,哈密,哈密市第二人民医院,内科,心血管内科,主治医师,,2.4,49,高血压；冠心病,"140,861次",0篇,49位,30位,49位,,,
何亮,新疆,哈密,哈密市第二人民医院,内科,心血管内科,住院医师,,2.4,86,高血压、冠心病、心力衰竭,"190,416次",4篇,86位,48位,83位,,,
马青青,新疆,哈密,哈密市第二人民医院,内科,心血管内科,住院医师,,2.4,21,高血压、冠心病、心衰等,"162,257次",0篇,21位,0位,20位,,,
陈俊芝,新疆,哈密,哈密市第二人民医院,内科,呼吸肿瘤内科,主任医师,,2.7,,对呼吸系统疾病诊治有丰富的临床经验，对呼吸系统肿瘤诊治有独到之处。熟练掌握纤维支气管镜在呼吸系统疾病方面的应用。,,,,,,,,
程江华,新疆,哈密,哈密市第二人民医院,内科,呼吸肿瘤内科,副主任医师,,2.7,,慢性阻塞性肺疾病、支气管哮喘、肺间质性病变、呼吸重症、慢性呼吸衰竭、脓毒血症及呼吸系统疑难杂症的诊治，具有丰富的临床经验及独到见解。,,,,,,,,
王文凯,新疆,哈密,哈密市第二人民医院,内科,呼吸肿瘤内科,住院医师,,2.6,,,420次,0篇,0位,0位,0位,,,
唐良志,新疆,哈密,哈密市第二人民医院,内科,内分泌肾病科,副主任医师,,2.7,4,,"3,239次",0篇,4位,4位,4位,,,
郭玉萍,新疆,哈密,哈密市第二人民医院,内科,内分泌肾病科,副主任医师,,2.5,,内分泌及代谢性疾病、肾病的诊断和治疗。,,,,,,,,
蒲改玉,新疆,哈密,哈密市第二人民医院,内科,神经内科,主任医师,,2.5,,对神经系统疾病、消化内科疾病的诊治有丰富的临床经验，尤其对脑血管疾病、帕金森病、各种头痛症、神经衰弱等诊治有独到之处。,,,,,,,,
张洪波,新疆,哈密,哈密市第二人民医院,内科,神经内科,副主任医师,,2.5,3,脑血管病、头晕、帕金森病的诊治。,494次,0篇,3位,0位,0位,,,
