姓名,省/直辖市,市/区,医院,科室类别,科室,职称,教育职称,综合推荐热度,在线问诊量,擅长,个人网站总访问,个人网站总文章,个人网站总患者,微信诊后报道患者,总诊后报到患者,诊后服务星,诊治后患者数,随访中患者数
迪力拜尔,新疆,喀什,喀什地区第一人民医院,内科,呼吸科,副主任医师,,3.0,,普通内科常见病、多发病及危重病人的诊断和治疗，对呼吸系统常见病、多发病及危重病的抢救、诊断、治疗有较丰富的临床经验,,,,,,,,
吕凤臣,新疆,喀什,喀什地区第一人民医院,内科,呼吸科,,,2.9,,,,,,,,,,
王怀振,新疆,喀什,喀什地区第一人民医院,内科,呼吸科,,,2.9,,,,,,,,,,
迪丽努尔艾则孜,新疆,喀什,喀什地区第一人民医院,内科,神经内科,副主任医师,,2.9,,各种神经内科疾病的诊断治疗，对内分泌疾病、呼吸系统疾病、脑血管疾病的诊治也具备较丰富的临床经验,,,,,,,,
阿不都热合曼,新疆,喀什,喀什地区第一人民医院,内科,神经内科,,,2.7,,,,,,,,,,
颜世清,新疆,喀什,喀什地区第一人民医院,内科,神经内科,,,2.7,,,,,,,,,,
比力克孜,新疆,喀什,喀什地区第一人民医院,内科,心血管内科,,,2.7,,,,,,,,,,
胡玉英,新疆,喀什,喀什地区第一人民医院,内科,心血管内科,,,2.7,,高血压、冠心病、心衰等疾病诊治,,,,,,,,
曼特力,新疆,喀什,喀什地区第一人民医院,内科,心血管内科,,,2.7,,,,,,,,,,
胡朝谦,新疆,喀什,喀什地区第一人民医院,内科,内分泌科,主治医师,,2.9,13,糖尿病，甲亢，骨质疏松的诊治。,,0篇,13位,0位,0位,,,
阿地力江阿不力米提,新疆,喀什,喀什地区第一人民医院,内科,内分泌科,,,2.8,,内分泌,,,,,,,,
阿孜古,新疆,喀什,喀什地区第一人民医院,内科,消化科,,,2.7,,消化内镜检查及治疗,,,,,,,,
努尔叶,新疆,喀什,喀什地区第一人民医院,内科,消化科,,,2.7,,,,,,,,,,
