姓名,省/直辖市,市/区,医院,科室类别,科室,职称,教育职称,综合推荐热度,在线问诊量,擅长,个人网站总访问,个人网站总文章,个人网站总患者,微信诊后报道患者,总诊后报到患者,诊后服务星,诊治后患者数,随访中患者数
左红,新疆,塔城,沙湾县人民医院,内科,心血管内科,主任医师,,2.8,44,高血压，急慢性心衰，冠心病，心律失常，心肌病，高血脂等内科常见疾病的诊治,"28,677次",13篇,44位,43位,43位,,,
秦淑蓉,新疆,塔城,沙湾县人民医院,内科,心血管内科,副主任医师,,2.8,18,高血压，急慢性心衰，冠心病，心律失常，心肌病，高血脂等内科常见疾病的诊治,"13,337次",1篇,18位,17位,17位,,,
郑丽华,新疆,塔城,沙湾县人民医院,内科,心血管内科,主治医师,,2.7,68,高血压，急慢性心衰，冠心病，心律失常，心肌病，高血脂等内科常见疾病的诊治,"16,602次",0篇,68位,63位,66位,,,
李海蓉,新疆,塔城,沙湾县人民医院,内科,心血管内科,主治医师,,2.7,3,慢性阻塞性肺病，肺炎，支气管哮喘，支气管扩张，肺原性心脏病等内科疾病,"5,952次",0篇,3位,3位,3位,,,
孙海玲,新疆,塔城,沙湾县人民医院,内科,心血管内科,住院医师,,2.6,4,高血压，急慢性心衰，冠心病，心律失常，心肌病，高血脂等内科常见疾病的诊治,"6,392次",0篇,4位,4位,4位,,,
廖新慧,新疆,塔城,沙湾县人民医院,内科,心血管内科,主任医师,,2.6,,内科高血压、冠心病、心肌病、心脏瓣膜病、心包疾病、肺心病、心律失常等内科各类常见病的诊治及急性心梗、心脏骤停与心脏性猝死、重症心肌炎、高血压危象、严重心律失常疑难、危重症病人的抢救、诊断及治疗,,,,,,,,
任科云,新疆,塔城,沙湾县人民医院,内科,心血管内科,住院医师,,2.5,3,高血压，急慢性心衰，冠心病，心律失常，心肌病，高血脂等内科常见疾病的诊治,"6,763次",0篇,3位,3位,3位,,,
米玉荣,新疆,塔城,沙湾县人民医院,内科,心血管内科,住院医师,,2.4,40,高血压，急慢性心衰，冠心病，心律失常，心肌病，高血脂等内科常见疾病的诊治,"12,627次",0篇,40位,40位,40位,,,
马凤明,新疆,塔城,沙湾县人民医院,内科,心血管内科,住院医师,,2.4,,高血压，急慢性心衰，冠心病，心律失常，心肌病，高血脂等内科常见疾病的诊治,"4,642次",0篇,0位,0位,0位,,,
胡新宝,新疆,塔城,沙湾县人民医院,内科,心血管内科,,,2.4,,,,,,,,,,
崔世伟,新疆,塔城,沙湾县人民医院,内科,心血管内科,,,2.4,,,,,,,,,,
吴冬梅,新疆,塔城,沙湾县人民医院,内科,感染科,主任医师,,2.7,,各种肝病引起肝硬化消化道出血、肝硬化、原发性肝癌等； 感染性肠道疾病如感染性腹泻，细菌性痢疾； 呼吸道传染病如肺结核，麻疹，水痘，流行性腮腺炎； 消化道传染病如病毒性肝炎（慢性乙肝，慢性丙肝，甲肝）； 各种季节性感染性疾病如手足口病，伤寒，副伤寒，以及地方性传染病如布鲁氏菌病,,,,,,,,
李延平,新疆,塔城,沙湾县人民医院,内科,感染科,副主任医师,,2.5,,在感染科常见病及传染病多发性诊治方面具有丰富的临床经验,,,,,,,,
邓志刚,新疆,塔城,沙湾县人民医院,内科,感染科,,,2.5,,肝病(乙肝、丙肝抗病毒治疗等)诊治,,,,,,,,
寇玉霞,新疆,塔城,沙湾县人民医院,内科,感染科,,,2.5,,,,,,,,,,
马海龙,新疆,塔城,沙湾县人民医院,内科,感染科,住院医师,,2.5,,,,,,,,,,
董佳丽,新疆,塔城,沙湾县人民医院,内科,感染科,,,2.5,,,,,,,,,,
单元元,新疆,塔城,沙湾县人民医院,内科,感染科,,,2.5,,,,,,,,,,
冯晓楠,新疆,塔城,沙湾县人民医院,内科,感染科,,,2.5,,,,,,,,,,
董亚飞,新疆,塔城,沙湾县人民医院,内科,感染科,,,2.5,,,,,,,,,,
古丽努尔,新疆,塔城,沙湾县人民医院,内科,呼吸内分泌科,主任医师,,2.8,,内分泌科常见疾病,"5,057次",0篇,0位,0位,0位,,,
黄晓阳,新疆,塔城,沙湾县人民医院,内科,呼吸内分泌科,住院医师,,2.6,,呼吸系统常见病,"4,728次",0篇,0位,0位,0位,,,
赵芳,新疆,塔城,沙湾县人民医院,内科,呼吸内分泌科,住院医师,,2.6,14,糖尿病及其并发症，甲状腺疾病，以及垂体、性腺、肾上腺等疾病的诊治,"8,380次",0篇,14位,14位,14位,,,
杨欢欢,新疆,塔城,沙湾县人民医院,内科,呼吸内分泌科,主治医师,,2.6,2,糖尿病，甲亢甲减，肥胖症，慢阻肺，哮喘等疾病的诊治,"5,044次",0篇,2位,1位,2位,,,
王莉莉,新疆,塔城,沙湾县人民医院,内科,呼吸内分泌科,住院医师,,2.5,6,糖尿病及其并发症，甲状腺疾病，以及垂体、性腺、肾上腺等疾病的诊治,"8,585次",0篇,6位,6位,6位,,,
高天文,新疆,塔城,沙湾县人民医院,内科,呼吸内分泌科,主治医师,,2.5,2,糖尿病及其并发症，甲状腺疾病，以及垂体、性腺、肾上腺等疾病的诊治,"7,310次",0篇,2位,2位,2位,,,
陆萍,新疆,塔城,沙湾县人民医院,内科,呼吸内分泌科,主治医师,,2.5,,普内科常见病,"3,040次",0篇,0位,0位,0位,,,
康建录,新疆,塔城,沙湾县人民医院,内科,急诊科,副主任医师,,2.6,1,中医内科及急诊常见疾病等,"3,195次",0篇,1位,0位,0位,,,
郝强志,新疆,塔城,沙湾县人民医院,内科,急诊科,,,2.4,,内科常见病、多发病及急诊、急救,,,,,,,,
