姓名,省/直辖市,市/区,医院,科室类别,科室,职称,教育职称,综合推荐热度,在线问诊量,擅长,个人网站总访问,个人网站总文章,个人网站总患者,微信诊后报道患者,总诊后报到患者,诊后服务星,诊治后患者数,随访中患者数
张力军,新疆,巴音郭楞,巴州人民医院,内科,心血管内科,主任医师,,3.1,12,高血压，急慢性心衰，冠心病，心律失常，心肌病，高血脂等内科常见疾病的诊治,"7,088次",0篇,12位,12位,12位,,,
玛依努尔·哈依尔,新疆,巴音郭楞,巴州人民医院,内科,心血管内科,主任医师,,3.0,2,心绞痛、心衰、高血压等心血管内科常见疾病的诊治,"3,189次",0篇,2位,2位,2位,,,
排孜来提·尤努斯,新疆,巴音郭楞,巴州人民医院,内科,心血管内科,主任医师,,3.0,,高血压、冠心病、心律失常、心衰、心肌缺血等心血管内科常见疾病的诊治,,0篇,0位,0位,0位,,,
欧阳晓东,新疆,巴音郭楞,巴州人民医院,内科,心血管内科,主任医师,,3.0,,心脑血管常见病、多发病、疑难病的诊治,,,,,,,,
袁山,新疆,巴音郭楞,巴州人民医院,内科,心血管内科,主治医师,,3.0,,高血压，急慢性心衰，冠心病，心律失常，心肌病，高血脂等内科常见疾病的诊治,"5,813次",0篇,0位,0位,0位,,,
常明,新疆,巴音郭楞,巴州人民医院,内科,心血管内科,副主任医师,,2.9,,心血管常见病、多发病进行诊治，特别是对危重症患者能独立指挥抢救治疗,,,,,,,,
熊新华,新疆,巴音郭楞,巴州人民医院,内科,心血管内科,主任医师,,2.8,,,,,,,,,,
王红燕,新疆,巴音郭楞,巴州人民医院,内科,心血管内科,副主任医师,,2.8,,心血管常见病、多发病、疑难病的诊治,,,,,,,,
任胜林,新疆,巴音郭楞,巴州人民医院,内科,心血管内科,副主任医师,,2.8,,心血管内科各种急危重症的诊治，尤其复杂心率失常的诊治，在心血管疾病的介入治疗方面有独特的专长，能够独立完成急性心肌梗塞的急诊PCI术、选择性冠状动脉成形术及支架植入术、临时永久起搏器植入术、导管射频消融术等技术,,,,,,,,
廖春林,新疆,巴音郭楞,巴州人民医院,内科,心血管内科,副主任医师,,2.8,,心脏起博与射频消融治疗心律失常、冠脉造影术、心脏临时及永久起博植入诊治,,,,,,,,
王玉兰,新疆,巴音郭楞,巴州人民医院,内科,心血管内科,副主任医师,,2.8,,心血管常见病、多发病进行诊治，特别是对危重症患者能独立指挥抢救治疗,,,,,,,,
马云玉,新疆,巴音郭楞,巴州人民医院,内科,心血管内科,副主任医师,,2.8,,,,,,,,,,
李浩,新疆,巴音郭楞,巴州人民医院,内科,心血管内科,住院医师,,2.8,,高血压，急慢性心衰，冠心病，心律失常，心肌病，高血脂等内科常见疾病的诊治,"6,629次",0篇,0位,0位,0位,,,
张廷吉,新疆,巴音郭楞,巴州人民医院,内科,心血管内科,主治医师,,2.8,22,高血压、冠心病;心功能不全等,,30篇,22位,14位,15位,,,
卢艳,新疆,巴音郭楞,巴州人民医院,内科,心血管内科,主治医师,,2.8,4,冠心病、高血压等,,0篇,0位,0位,0位,,,
高亚丽,新疆,巴音郭楞,巴州人民医院,内科,心血管内科,主治医师,,2.8,,高血压、冠心病等,"5,835次",0篇,0位,0位,0位,,,
陈建,新疆,巴音郭楞,巴州人民医院,内科,心血管内科,住院医师,,2.8,,高血压、冠心病,,0篇,0位,0位,0位,,,
樊昕,新疆,巴音郭楞,巴州人民医院,内科,心血管内科,住院医师,,2.8,2,心血管疾病,"6,653次",0篇,2位,2位,2位,,,
苗新刚,新疆,巴音郭楞,巴州人民医院,内科,神经内科,副主任医师,,3.0,,神经内科及血液科常见病、多发病、疑难病的诊治,,,,,,,,
吴新山,新疆,巴音郭楞,巴州人民医院,内科,神经内科,主治医师,,2.9,,脑血管病、癫痫、周围神经病、头痛、头晕等常见病、多发病的诊治,,0篇,0位,0位,0位,,,
齐月仙,新疆,巴音郭楞,巴州人民医院,内科,神经内科,主任医师,,2.9,,周围神经病、中枢神经系统脱髓鞘疾病、神经系统变性疾病、神经—肌肉接头疾病、肌肉疾病等疾病的诊治,,,,,,,,
李雅博,新疆,巴音郭楞,巴州人民医院,内科,神经内科,主任医师,,2.9,,,,,,,,,,
张虔,新疆,巴音郭楞,巴州人民医院,内科,神经内科,副主任医师,,2.8,,脑血管病、脑损伤、脊髓损伤、脑瘫的康复的诊治,,,,,,,,
艾克拜尔·加玛力,新疆,巴音郭楞,巴州人民医院,内科,神经内科,副主任医师,,2.8,,脑血管疾病、癫痫、帕金森病、多发性硬化肌运动神经元病、肌肉疾病、周围神经病的诊断及治疗,,,,,,,,
艾合买提·扎依尔,新疆,巴音郭楞,巴州人民医院,内科,神经内科,副主任医师,,2.8,,,,,,,,,,
王平,新疆,巴音郭楞,巴州人民医院,内科,神经内科,主治医师,,2.8,39,脑血管病，癫痫，痴呆，帕金森病，头痛等疾病的诊治,"26,282次",11篇,39位,34位,35位,,,
吴海跃,新疆,巴音郭楞,巴州人民医院,内科,神经内科,住院医师,,2.8,,脑血管病、癫痫、周围神经病、头痛、头晕等常见病、多发病的诊治,,0篇,0位,0位,0位,,,
艾则麦提江·亚森,新疆,巴音郭楞,巴州人民医院,内科,神经内科,住院医师,,2.8,2,脑血管病、癫痫、周围神经病、头痛、头晕等常见病、多发病的诊治,"4,426次",0篇,2位,2位,2位,,,
朱坤,新疆,巴音郭楞,巴州人民医院,内科,神经内科,住院医师,,2.7,,脑血管病、癫痫、周围神经病、头痛、头晕等常见病、多发病的诊治,,0篇,0位,0位,0位,,,
商灵英,新疆,巴音郭楞,巴州人民医院,内科,内分泌科,主任医师,,3.0,,心血管病、老年病专业的诊治,,,,,,,,
哈力岱.哈吾力,新疆,巴音郭楞,巴州人民医院,内科,内分泌科,主任医师,,2.9,,内分泌科常见病、多发病及疑难病的诊治,,,,,,,,
李继红,新疆,巴音郭楞,巴州人民医院,内科,内分泌科,副主任医师,,2.9,,内分泌专业（糖尿病、甲状腺、肾上腺、垂体及骨质疏松等）及病的诊治,,,,,,,,
刘冬,新疆,巴音郭楞,巴州人民医院,内科,内分泌科,副主任医师,,2.9,,脑垂体卒中、下丘脑综合症、原发性甲状旁腺功能亢进症、高泌乳素血症及溢乳-闭经综合症、多发性内分泌腺瘤病、空泡蝶鞍、高血压、原发性醛固酮增多症、低钠血症、痛风及高尿酸血症、尿崩症等疾病能准确诊断治疗，尤其对糖尿病病因及分型的诊断,,,,,,,,
赵晓玲,新疆,巴音郭楞,巴州人民医院,内科,内分泌科,副主任医师,,2.9,,心肺复苏术、急性肺水肿的抢救、顽固性心衰的诊治、肺源性心脏病、心功能不全的诊治、糖尿病酮症酸中毒的抢救、肺性脑病诊治,,,,,,,,
徐新,新疆,巴音郭楞,巴州人民医院,内科,内分泌科,主任医师,,2.9,,,,,,,,,,
陈立,新疆,巴音郭楞,巴州人民医院,内科,内分泌科,主任医师,,2.9,,,,,,,,,,
帕塔木汗.卡德尔,新疆,巴音郭楞,巴州人民医院,内科,内分泌科,副主任医师,,2.9,,心肺复苏术、急性肺水肿的抢救、顽固性心衰的诊治、肺源性心脏病、心功能不全的诊治、糖尿病酮症酸中毒的抢救、肺性脑病诊治、哮喘持续状态及大咯血的抢救，与ICU合作成功抢救ARDS、Ⅱ型呼衰病人，尤其是糖尿病及并发症、甲状腺疾病的诊治,,,,,,,,
冯振梅,新疆,巴音郭楞,巴州人民医院,内科,内分泌科,副主任医师,,2.8,,,,,,,,,,
热纳古力·艾拜布拉,新疆,巴音郭楞,巴州人民医院,内科,内分泌科,副主任医师,,2.8,,,,,,,,,,
强波荣,新疆,巴音郭楞,巴州人民医院,内科,内分泌科,副主任医师,,2.8,,,,,,,,,,
