姓名,省/直辖市,市/区,医院,科室类别,科室,职称,教育职称,综合推荐热度,在线问诊量,擅长,个人网站总访问,个人网站总文章,个人网站总患者,微信诊后报道患者,总诊后报到患者,诊后服务星,诊治后患者数,随访中患者数
孙新华,新疆,昌吉,昌吉州人民医院,内科,心血管内科,主任医师,,2.9,,心血管病、老年病、介入治疗、高血压病,,,,,,,,
王其琼,新疆,昌吉,昌吉州人民医院,内科,心血管内科,主任医师,教授,3.1,62,擅长心血管疾病的诊治，对高血压，高血脂，心力衰竭，冠心病诊治都有独到的见解，尤其擅长心律失常疾病的诊治，对复杂心律失常的判断有很高的判断准确率！对房颤，室早，房早等心律失常，可以提供规范化的治疗方案！对起搏器植入手术以及手术后起搏器患者的随访程控检查有独到之处！,119次,0篇,61位,12位,12位,,,
马玉龙,新疆,昌吉,昌吉州人民医院,内科,心血管内科,副主任医师,,3.0,16,冠心病的介入治疗，高血压，心律失常等,"6,192次",0篇,16位,15位,15位,,,
李世春,新疆,昌吉,昌吉州人民医院,内科,心血管内科,主任医师,,3.0,,心血管疾病常规诊疗和心血管介入治疗，可独立完成冠状动脉造影及冠脉内支架植入术，心脏临时及永久起搏器的植入。对急性心肌梗死、各种顽固性心力衰竭、肺栓塞、高血压、脂代谢紊乱、心脏骤停等心血管急危重病患者的诊治有丰富的临床经验,,,,,,,,
杨思源,新疆,昌吉,昌吉州人民医院,内科,心血管内科,主治医师,,2.9,,高血压，急慢性心衰，冠心病，心律失常，心肌病，高血脂等内科常见疾病的诊治,"3,932次",0篇,0位,0位,0位,,,
衡明强,新疆,昌吉,昌吉州人民医院,内科,心血管内科,主治医师,,2.9,,高血压，急慢性心衰，冠心病，心律失常，心肌病，高血脂等内科常见疾病的诊治,"6,029次",0篇,0位,0位,0位,,,
王卯,新疆,昌吉,昌吉州人民医院,内科,心血管内科,副主任医师,,2.9,,能熟练进行冠状血管造影术、经皮冠状动脉内支架置入术、临时起搏器安装术及永久起搏器植入术；熟练掌握心内科疾病的诊治，独立处理内科危重急诊的抢救工作，如急性心肌梗死、严重心律失常，各种心衰、心源性休克、高血压等,,,,,,,,
李志军,新疆,昌吉,昌吉州人民医院,内科,心血管内科,主任医师,,2.9,,心血管疾病、高血压、血脂紊乱的诊治,,,,,,,,
热孜万,新疆,昌吉,昌吉州人民医院,内科,心血管内科,主任医师,,2.8,,心血管病,,,,,,,,
付慧娴,新疆,昌吉,昌吉州人民医院,内科,心血管内科,主治医师,,2.8,2,高血压，急慢性心衰，冠心病，心律失常，心肌病，高血脂等内科常见疾病的诊治,"8,977次",0篇,2位,1位,1位,,,
邢永智,新疆,昌吉,昌吉州人民医院,内科,心血管内科,副主任医师,,2.8,,心脑血管病,,,,,,,,
董桐,新疆,昌吉,昌吉州人民医院,内科,心血管内科,副主任医师,,2.8,,心脑血管病、高血压、糖尿病及急危重病人的救治,,,,,,,,
班新全,新疆,昌吉,昌吉州人民医院,内科,心血管内科,主治医师,,2.8,36,高血压、冠心病、心律衰竭,"9,461次",0篇,36位,35位,35位,,,
昌思梦,新疆,昌吉,昌吉州人民医院,内科,心血管内科,副主任医师,,2.8,,心内科常见病、多发病的诊治，特别对高血压、难治性高血压、继发性高血压、冠心病、心绞痛、急性心肌梗死、陈旧性心肌梗死、心力衰竭、心律失常、心肌病、心肌炎、心脏瓣膜病等的诊治有丰富的经验,,,,,,,,
程江,新疆,昌吉,昌吉州人民医院,内科,普通内科,主任医师,副教授,3.1,,呼吸系统疾病、肝病、传染病,,,,,,,,
吕晋洪,新疆,昌吉,昌吉州人民医院,内科,普通内科,副主任医师,,2.8,,,,,,,,,,
廖志梅,新疆,昌吉,昌吉州人民医院,内科,普通内科,主任医师,,3.0,23,类风湿关节炎、系统性红斑狼疮、干燥综合征、骨质疏松、心脑血管疾病、内分泌疾病、老年综合性疾病等方面积累了丰富的临床经验,"12,826次",0篇,23位,5位,5位,,,
齐金香,新疆,昌吉,昌吉州人民医院,内科,普通内科,主任医师,,2.9,,呼吸系统疾病、心血管病,,,,,,,,
张霞,新疆,昌吉,昌吉州人民医院,内科,普通内科,主任医师,,2.9,,儿科消化、呼吸、心血管系统疾病,,,,,,,,
王颖,新疆,昌吉,昌吉州人民医院,内科,普通内科,副主任医师,,2.9,,儿科、传染科常见病、多发病,"6,675次",0篇,0位,0位,0位,,,
温洁,新疆,昌吉,昌吉州人民医院,内科,普通内科,副主任医师,,2.9,,风湿免疫系统疾病：类风湿关节炎、系统性红斑狼疮、骨质疏松、干燥综合征、骨关节炎、多发性肌炎、皮肌炎等疾病的诊治，同时多年的综合内科工作也积累了丰富的心血管病、呼吸系统疾病、内分泌疾病的临床诊治经验,,,,,,,,
卡得尔,新疆,昌吉,昌吉州人民医院,内科,普通内科,副主任医师,,2.8,,心脑血管、呼吸系统疾病及急危重病人的救治,,,,,,,,
沙依热古丽,新疆,昌吉,昌吉州人民医院,内科,普通内科,副主任医师,,2.8,,心血管、脑血管疾病,,,,,,,,
刘辉,新疆,昌吉,昌吉州人民医院,内科,普通内科,副主任医师,,2.8,,高血压、冠心病、糖尿病、小儿过敏性紫癜、妇女更年期综合症、高脂血症等疾病的诊治,,,,,,,,
刘正基,新疆,昌吉,昌吉州人民医院,内科,消化内科,副主任医师,,2.8,,消化系统胃肠、肝胆及胰腺等疾病的诊治,,,,,,,,
张盼,新疆,昌吉,昌吉州人民医院,内科,消化内科,住院医师,,2.9,1,消化性溃疡，反流性食管炎，肠易激综合症，炎症性肠病，消化道早癌，消化道出血，肝硬化等疾病的诊治，以及消化内镜的临床应用,"2,750次",0篇,1位,1位,1位,,,
