姓名,省/直辖市,市/区,医院,科室类别,科室,职称,教育职称,综合推荐热度,在线问诊量,擅长,个人网站总访问,个人网站总文章,个人网站总患者,微信诊后报道患者,总诊后报到患者,诊后服务星,诊治后患者数,随访中患者数
王忠,新疆,石河子,石河子大学医学院第一附属医院,内科,心血管内科,主任医师,教授,3.4,,擅长胸痛诊断及冠心病药物治疗，擅长高血压病、心律失常、高脂血症等的诊断与治疗； 擅长冠心病心绞痛、心肌梗死支架植入及术后处理；心动过缓诊断及心脏起搏器植入；心房颤动、心房扑动药物治疗及射频消融治疗；频发室早、室速药物治疗及射频消融治疗，对心脏病疑难病症的诊治有较高的造诣。,"15,103次",0篇,0位,0位,0位,,,
张望强,新疆,石河子,石河子大学医学院第一附属医院,内科,心血管内科,副主任医师,,3.2,,复杂冠心病介入支架植入术、永久起搏器置入术、埋藏式心脏复律除颤器安置术（ICD）、心脏再同步治疗（CRT）、阵发性室上速及室性心律失常的射频消融术等心脏病介入诊疗技术,,,,,,,,
刘克坚,新疆,石河子,石河子大学医学院第一附属医院,内科,心血管内科,主任医师,,3.2,,高血压、冠心病及心力衰竭的诊断及治疗。,"2,046次",0篇,0位,0位,0位,,,
殷音,新疆,石河子,石河子大学医学院第一附属医院,内科,心血管内科,副主任医师,,3.2,,冠心病急诊及复杂病变的介入手术治疗及心律失常起搏介入手术治疗,,,,,,,,
柴睿,新疆,石河子,石河子大学医学院第一附属医院,内科,心血管内科,副主任医师,,3.2,,各种心血管疑难及急危重疾病,,,,,,,,
孟兆慧,新疆,石河子,石河子大学医学院第一附属医院,内科,心血管内科,副主任医师,讲师,3.2,,诊治急性冠脉综合征、慢性心力衰竭、高血压、各类心律失常等疾病,,,,,,,,
翟志红,新疆,石河子,石河子大学医学院第一附属医院,内科,心血管内科,副主任医师,,3.2,,对冠心病、高血压、心律失常等心血管疾病有丰富临床经验，擅长诊治急性冠脉综合征、慢性心力衰竭、高血压、各类心律失常等疾病,,,,,,,,
严治涛,新疆,石河子,石河子大学医学院第一附属医院,内科,心血管内科,主任医师,,3.1,,擅长于继发性高血压的诊断及治疗（尤其是肾上腺疾病、肾血管性高血压、睡眠呼吸暂停低通气综合征相关性高血压等及疑难高血压的诊疗）、冠心病的诊断及介入治疗、起搏器的植入治疗，外周血管的介入诊疗,,,,,,,,
王丽,新疆,石河子,石河子大学医学院第一附属医院,内科,心血管内科,主任医师,,3.1,34,冠心病，高血压，心肌病，心衰，心律失常等疾病的诊治,"11,333次",0篇,34位,0位,0位,,,
周康,新疆,石河子,石河子大学医学院第一附属医院,内科,心血管内科,副主任医师,副教授,3.0,,,,,,,,,,
谭锋,新疆,石河子,石河子大学医学院第一附属医院,内科,心血管内科,副主任医师,,3.0,24,冠心病的介入治疗；高血压的诊断治疗随访等；心力衰竭的诊断治疗随访，各种心律失常的诊治及随访。,"15,458次",0篇,24位,2位,2位,,,
李平珍,新疆,石河子,石河子大学医学院第一附属医院,内科,心血管内科,主治医师,助教,3.0,43,高血压、冠心病,"118,286次",0篇,43位,2位,39位,,,
