姓名,省/直辖市,市/区,医院,科室类别,科室,职称,教育职称,综合推荐热度,在线问诊量,擅长,个人网站总访问,个人网站总文章,个人网站总患者,微信诊后报道患者,总诊后报到患者,诊后服务星,诊治后患者数,随访中患者数
徐月清,新疆,阿克苏,新疆生产建设兵团第一师医院,内科,呼吸血液科,主任医师,,3.1,,各类肺炎、慢阻肺、肺心病、支气管哮喘、支气管扩张、肺栓塞、呼吸衰竭等常见病、疑难危重病的诊治和支气管镜、肺功能、无创呼吸机在呼吸系统疾病的临床应用,,,,,,,,
魏龙,新疆,阿克苏,新疆生产建设兵团第一师医院,内科,呼吸血液科,副主任医师,,3.1,,感染性疾病、反应性疾病（哮喘、慢性咳嗽、过敏性鼻炎），慢性阻塞性肺病（COPD）、肺源性心脏病、肺部占位、肺间质性病变的诊断、治疗及肺功能评价有较深的认识。擅长气管镜常规检查诊治术,,,,,,,,
秦勇,新疆,阿克苏,新疆生产建设兵团第一师医院,内科,呼吸血液科,主任医师,,3.1,,肺部感染、肺心病、哮喘、呼吸衰竭等常见、疑难病的诊治，肺癌的诊断及鉴别诊断，规范化化疗,,,,,,,,
方红伟,新疆,阿克苏,新疆生产建设兵团第一师医院,内科,呼吸血液科,副主任医师,,3.0,,社区获得性肺炎、支气管哮喘、慢性阻塞性疾病、慢性肺源性心脏病、呼吸衰竭、肺栓塞、胸腔积液等疾病的诊治及呼吸机治疗呼吸衰竭技术。擅长支气管镜及肺功能在呼吸系统疾病的临床应用。,,,,,,,,
王晓玲,新疆,阿克苏,新疆生产建设兵团第一师医院,内科,呼吸血液科,副主任医师,,3.0,,阻肺、肺心病、间质性肺疾病、支气管哮喘、肺部肿瘤、肺栓塞、各种肺炎的诊治,,,,,,,,
李峰,新疆,阿克苏,新疆生产建设兵团第一师医院,内科,呼吸血液科,副主任医师,,3.0,,,,,,,,,,
韩雪梅,新疆,阿克苏,新疆生产建设兵团第一师医院,内科,内分泌科,副主任医师,,2.9,1,,372次,0篇,1位,0位,0位,,,
宋燕庆,新疆,阿克苏,新疆生产建设兵团第一师医院,内科,内分泌科,主任医师,,2.9,,,,,,,,,,
张炜,新疆,阿克苏,新疆生产建设兵团第一师医院,内科,内分泌科,副主任医师,,2.8,,科、内分泌代谢性疾病临床、教学工作。对糖尿病、糖尿病并发症、甲亢、甲减、甲状腺炎等甲状腺疾病、通风、肥胖症、更年期综合症及原发性骨质疏松症的诊断治疗等方面具有丰富的临床工作经验,,,,,,,,
冯琴,新疆,阿克苏,新疆生产建设兵团第一师医院,内科,内分泌科,住院医师,,2.8,1,,"2,732次",0篇,0位,0位,0位,,,
李佐红,新疆,阿克苏,新疆生产建设兵团第一师医院,内科,内分泌科,主治医师,,2.7,7,糖尿病、甲状腺疾病、骨质疏松、痛风、肥胖等疾病的诊治,"23,291次",3篇,7位,0位,0位,,,
茶春喜,新疆,阿克苏,新疆生产建设兵团第一师医院,内科,心血管病科,主任医师,,3.0,,冠心病诊治、急性心肌梗死再灌注、介入性心脏病学临床研究等,,,,,,,,
卢辉,新疆,阿克苏,新疆生产建设兵团第一师医院,内科,心血管病科,副主任医师,,2.8,,,,,,,,,,
黄春,新疆,阿克苏,新疆生产建设兵团第一师医院,内科,心血管病科,副主任医师,,2.8,,诊治心血管内科各种急症、重症，尤其在冠心病、高血压、急性心肌梗死再灌注、各种心律失常、心力衰竭、先心病及各种瓣膜病诊治，心内科急危重症救治，难治性心衰的诊治方面有自己的见解,,,,,,,,
任娟,新疆,阿克苏,新疆生产建设兵团第一师医院,内科,心血管病科,主治医师,,2.8,2,高血压、冠心病、心力衰竭、心律失常的诊治，随访，慢性病管理。,"3,587次",2篇,2位,0位,0位,,,
杜晶,新疆,阿克苏,新疆生产建设兵团第一师医院,内科,心血管病科,住院医师,,2.7,21,冠心病，高血压，心律失常，心脏冠脉介入及起搏介入,"9,877次",3篇,21位,17位,18位,,,
