姓名,省/直辖市,市/区,医院,科室类别,科室,职称,教育职称,综合推荐热度,在线问诊量,擅长,个人网站总访问,个人网站总文章,个人网站总患者,微信诊后报道患者,总诊后报到患者,诊后服务星,诊治后患者数,随访中患者数
沙拉买提,新疆,阿勒泰,阿勒泰市人民医院,内科,普通内科,主治医师,,2.6,,内科疾病的诊治，特别是呼吸、心血管、消化、内分泌、泌尿及小儿科常见疾病的诊治。,,,,,,,,
沙吾列.哈尼肯,新疆,阿勒泰,阿勒泰市人民医院,内科,普通内科,主治医师,,2.6,,内科各种常见病的诊治。,,,,,,,,
娜塔,新疆,阿勒泰,阿勒泰市人民医院,内科,普通内科,主治医师,,2.5,,在内科常见病多发病的诊疗积累了丰富的经验。,,,,,,,,
赵多胜,新疆,阿勒泰,阿勒泰市人民医院,内科,急诊科,主治医师,,2.5,,"心脑血管,消化系统疾病诊治及内科系统常见急重症的诊治。",,,,,,,,
柳富萍,新疆,阿勒泰,阿勒泰市人民医院,内科,感染内科,住院医师,,2.6,1,精神心理科,190次,0篇,1位,1位,1位,,,
王国柱,新疆,阿勒泰,阿勒泰市人民医院,外科,普外科,副主任医师,,2.6,,神经外科、骨科、普外常见病及疑难疾病的诊治。,,,,,,,,
塔力道,新疆,阿勒泰,阿勒泰市人民医院,外科,普外科,副主任医师,,2.7,,,,,,,,,,
银伟国,新疆,阿勒泰,阿勒泰市人民医院,外科,普外科,住院医师,,2.5,,,,,,,,,,
王新建,新疆,阿勒泰,阿勒泰市人民医院,外科,普外科,主治医师,,2.5,,创伤急救、普外，骨科疾病的诊治及治疗。,,,,,,,,
刘剑,新疆,阿勒泰,阿勒泰市人民医院,外科,普外科,住院医师,,2.4,,,,,,,,,,
龚志梅,新疆,阿勒泰,阿勒泰市人民医院,外科,普外科,住院医师,,2.4,,,,,,,,,,
冉文玉,新疆,阿勒泰,阿勒泰市人民医院,妇儿,妇产科,主治医师,,2.5,,对妇产科常见病，多发病具有较高的诊治水平。能较熟练地解决本专业疑难病症的诊断、治疗。擅长擅长妇科、产科、计划生育科常见病及疑难疾病的诊治。,,,,,,,,
贾娜尔,新疆,阿勒泰,阿勒泰市人民医院,妇儿,妇产科,主治医师,,2.6,,妇产科常见病多发病的诊断治疗。,,,,,,,,
商郑梅,新疆,阿勒泰,阿勒泰市人民医院,妇儿,妇产科,住院医师,,2.5,,妇产科常见病多发病的诊断治疗。,,,,,,,,
范美英,新疆,阿勒泰,阿勒泰市人民医院,妇儿,妇产科,主治医师,,2.5,,对妇产科常见病，多发病具有较高的诊治水平。能较熟练地解决本专业疑难病症的诊断、治疗。,,,,,,,,
孙凤霞,新疆,阿勒泰,阿勒泰市人民医院,妇儿,妇产科,住院医师,,2.5,,妇产科常见病的诊治。,,,,,,,,
王金霞,新疆,阿勒泰,阿勒泰市人民医院,妇儿,妇产科,住院医师,,2.5,,妇产科常见病的诊治。,,,,,,,,
梁习云,新疆,阿勒泰,阿勒泰市人民医院,妇儿,妇产科,住院医师,,2.4,,妇产科常见病多发病的诊断治疗。,,,,,,,,
张琼,新疆,阿勒泰,阿勒泰市人民医院,妇儿,妇产科,住院医师,,2.4,,妇产科常见病多发病的诊断治疗。,,,,,,,,
罗蜀红,新疆,阿勒泰,阿勒泰市人民医院,妇儿,儿科,副主任医师,,2.6,11,哮喘,"9,701次",0篇,11位,10位,10位,,,
高健,新疆,阿勒泰,阿勒泰市人民医院,其他,放射科,主任医师,,2.8,,对常见病、多发病及疑难病例的影像诊断，能够为临床诊疗工作提供一定的依据，主要从事各类特殊造影如：上消化道低张气钡双重造影，气钡灌肠造影，静脉泌尿系造影，支气管造影，四肢静脉血管造影，子宫输卵管造影，关节造影等的检查诊断。,,,,,,,,
