姓名,省/直辖市,市/区,医院,科室类别,科室,职称,教育职称,综合推荐热度,在线问诊量,擅长,个人网站总访问,个人网站总文章,个人网站总患者,微信诊后报道患者,总诊后报到患者,诊后服务星,诊治后患者数,随访中患者数
彭斌,北京,东城,北京协和医院,内科,神经科,主任医师,教授,3.6,,神经系统常见病多发病 专业特长：脑血管病及神经系统危重疾病。,,,,,,,,
沈航,北京,东城,北京协和医院,内科,神经科,主治医师,,4.3,1944,头痛疾病。包括各种原发性头痛、慢性头痛的诊断和治疗。,"532,528次",1篇,1944位,1087位,1087位,3,1040例,681例
张遥,北京,东城,北京协和医院,内科,神经科,主治医师,,3.9,334,中枢神经系统脱髓鞘疾病（如多发性硬化、视神经脊髓炎、复发性脊髓炎、复发性脑干脑炎、伴有风湿免疫病的视神经炎/脊髓炎等），以及各类免疫病（系统性红斑狼疮、干燥综合征、抗磷脂抗体综合征、类风湿关节炎、白塞病等）相关的神经系统损害。,"172,350次",0篇,334位,306位,312位,,,
李晓光,北京,东城,北京协和医院,内科,神经科,主任医师,副教授,3.8,8779,一，肌萎缩侧索硬化（运动神经元病，渐冻症）及其他运动神经元疾病的精准诊断与全程管理。二，额颞叶痴呆及帕金森病的精准诊断和全程管理。三，神经系统疾病（如痉挛性截瘫，肯尼迪病，脊髓小脑性共济失调，脊髓性肌萎缩，腓骨肌萎缩症及其他神经系统单基因遗传病）的基因检测与评估。四，偏头痛及各类头痛的精准诊断和治疗。五，轻中度焦虑抑郁的诊断与治疗。六，各类神经系统疑难病例的处理,"17,203,537次",147篇,8779位,1180位,1505位,,,
高山,北京,东城,北京协和医院,内科,神经科,主任医师,教授,3.8,385,脑血管病、脑梗死、脑动脉狭窄、头晕、眩晕、头痛。,"380,224次",0篇,385位,0位,13位,,,
戴毅,北京,东城,北京协和医院,内科,神经科,副主任医师,副教授,3.7,6945,神经系统单基因遗传病基因诊断、治疗及遗传咨询。包括遗传性神经肌肉病（DMD、LGMD、CMD、CMT、SMA、SBMA等）和其他累及神经系统的遗传性疾病（NF、TSC、WD等）。,"11,215,782次",104篇,6945位,310位,665位,,,
黄颜,北京,东城,北京协和医院,内科,神经科,副主任医师,副教授,3.7,1860,癫痫和睡眠障碍的诊断和治疗。包括不安腿综合征，发作性睡病，快速动眼期睡眠行为障碍的诊治，及夜间发作性症状的诊断和鉴别。,"1,232,964次",7篇,1860位,169位,218位,,,
崔丽英,北京,东城,北京协和医院,内科,神经科,主任医师,教授,3.7,,抢救重症肌无力危象、格林巴利综合征病人伴有呼吸肌麻痹、癫痫连续状态、静脉窦血栓形成及缺血性脑血管病的超早期溶栓等神经系统的各种疾病诊断治疗与抢救,,,,,,,,
曹玉珍,北京,东城,北京协和医院,内科,神经科,主任医师,,3.7,865,擅长各种类型的脑血管病的诊治，包括脑梗塞，脑出血，蛛网膜下腔出血，短暂脑缺血发作和各种少见型脑血管病，如免疫介导的血管炎，和遗传相关的血管病，以及血管病后的焦虑、抑郁等。,"209,185次",0篇,865位,34位,34位,2,95例,36例
万新华,北京,东城,北京协和医院,内科,神经科,主任医师,教授,3.6,2051,临床神经病学，不自主运动，帕金森症，头痛等,"1,420,826次",0篇,2051位,3位,73位,,,
