姓名,省/直辖市,市/区,医院,科室类别,科室,职称,教育职称,综合推荐热度,在线问诊量,擅长,个人网站总访问,个人网站总文章,个人网站总患者,微信诊后报道患者,总诊后报到患者,诊后服务星,诊治后患者数,随访中患者数
王拥军,北京,丰台,北京天坛医院,内科,神经病学中心,主任医师,教授,3.7,7,"脑缺血,脑血管病","229,937次",0篇,7位,2位,4位,,,
赵性泉,北京,丰台,北京天坛医院,内科,神经病学中心,主任医师,教授,3.5,9,普通脑血管病，神经病学,"132,723次",0篇,9位,0位,3位,,,
王永刚,北京,丰台,北京天坛医院,内科,神经病学中心,主任医师,教授,4.6,8435,"1. 头痛的分型诊断与治疗，尤其是家族性头痛，难治性头痛以及药物成瘾性头痛的戒断治疗。
2. 头晕的分型诊断与治疗，尤其是慢性头晕的诊断与治疗。
3. 脑梗塞
4. 失眠","2,343,120次",4篇,8435位,5753位,5781位,3,6561例,4706例
徐俊,北京,丰台,北京天坛医院,内科,神经病学中心,主任医师,教授,4.5,4311,"1、阿尔茨海默病及相关认知障碍疾病的临床规范诊治和发病机制研究；
2、癫痫、头痛等发作性疾病；
3、视神经脊髓炎等神经免疫疾病早期诊断和全程管理；
4、脑白质病；运动障碍疾病；神经遗传病。","5,792,761次",58篇,4311位,911位,924位,,,
王群,北京,丰台,北京天坛医院,内科,神经病学中心,主任医师,教授,4.1,3063,癫痫和脑电图，抗癫痫药物合理应用和顽固性癫痫术前评估。,"1,165,243次",3篇,3063位,547位,597位,3,1417例,512例
朴英善,北京,丰台,北京天坛医院,内科,神经病学中心,主任医师,,3.9,181,帕金森病及帕金森综合征等多种运动障碍性疾病，阿尔茨海默病及痴呆等多种认知障碍性疾病。,"29,160次",1篇,181位,74位,74位,,,
马惠姿,北京,丰台,北京天坛医院,内科,神经病学中心,主任医师,副教授,3.8,3473,主要诊治帕金森病，帕金森叠加综合征，各种运动障碍疾病，脑起搏器DBS评估，诊治综合医院的焦虑、抑郁、睡眠障碍；特别是卒中后抑郁、帕金森抑郁和老年痴呆抑郁；不安腿综合征及脑血管病。,"3,271,737次",5篇,3473位,537位,563位,2,881例,429例
邵晓秋,北京,丰台,北京天坛医院,内科,神经病学中心,主任医师,教授,3.7,1620,癫痫及发作性疾病的诊断及药物治疗、难治性癫痫的术前评估、脑电图判读,"2,010,604次",0篇,1620位,126位,202位,,,
赵惠卿,北京,丰台,北京天坛医院,内科,神经病学中心,副主任医师,,3.6,89,帕金森病、震颤、记忆减退及痴呆、头痛头晕、脑血管病等神经内科常见症状与疾病的诊断与治疗。,"75,200次",0篇,89位,28位,32位,,,
张巍,北京,丰台,北京天坛医院,内科,神经病学中心,主任医师,教授,3.6,447,帕金森病、运动障碍、痴呆、认知障碍。,"974,962次",3篇,447位,0位,10位,,,
