姓名,省/直辖市,市/区,医院,科室类别,科室,职称,教育职称,综合推荐热度,在线问诊量,擅长,个人网站总访问,个人网站总文章,个人网站总患者,微信诊后报道患者,总诊后报到患者,诊后服务星,诊治后患者数,随访中患者数
王辰,北京,朝阳,中日医院,内科,呼吸与危重症医学科,主任医师,教授,4,4,肺栓塞，肺动脉高压，肺心病，慢性阻塞性肺疾病(慢阻肺，慢支，肺气肿)，呼吸衰竭，呼吸系统疑难和危重症。,"99,448次",0篇,4位,0位,0位,,,
曹彬,北京,朝阳,中日医院,内科,呼吸与危重症医学科,主任医师,教授,3.8,,各种呼吸道感染的诊治，特别在支原体肺炎，病毒性肺炎和肺部真菌感染诊疗,,,,,,,,
张永明,北京,朝阳,中日医院,内科,呼吸与危重症医学科,副主任医师,讲师,4.4,6329,肺癌、肺部结节、支气管哮喘、慢性阻塞性肺病(COPD)、肺部阴影、肺部感染、结节病、间质性肺炎、咳嗽的诊治,"2,454,383次",85篇,6329位,759位,767位,3,1364例,746例
翟振国,北京,朝阳,中日医院,内科,呼吸与危重症医学科,主任医师,副教授,4.2,2915,呼吸系统疾病、急性和慢性肺栓塞、肺动脉高压等,"1,834,815次",20篇,2915位,1240位,1251位,3,1548例,941例
万钧,北京,朝阳,中日医院,内科,呼吸与危重症医学科,主任医师,副教授,4,877,"擅长诊疗特发性肺动脉高压、各种病因（严重慢性阻塞性肺疾病、肺纤维化、风湿免疫病）相关肺动脉高压、肺栓塞、肺部结节。
研究方向为肺动脉高压等肺血管疾病、肺栓塞。","534,622次",9篇,877位,389位,389位,,,
林江涛,北京,朝阳,中日医院,内科,呼吸与危重症医学科,主任医师,教授,3.9,4677,①难治性哮喘的诊治；②慢性咳嗽；③慢性阻塞性肺疾病和肺心病患者的稳定期治疗；④烟草依赖的综合治疗,"4,674,388次",117篇,4677位,1位,33位,,,
代华平,北京,朝阳,中日医院,内科,呼吸与危重症医学科,主任医师,教授,3.9,47,间质性肺疾病/肺纤维化，呼吸疑难病症，肺移植,"491,763次",20篇,47位,0位,3位,,,
詹庆元,北京,朝阳,中日医院,内科,呼吸与危重症医学科,主任医师,教授,3.9,25,呼吸内科学，呼吸危重症,"111,218次",0篇,25位,0位,0位,,,
侯刚,北京,朝阳,中日医院,内科,呼吸与危重症医学科,主任医师,教授,3.9,95,慢性阻塞性肺疾病、支气管哮喘、呼吸系统感染等常见疾病的诊治,"139,465次",0篇,95位,1位,1位,,,
朱广迎,北京,朝阳,中日医院,内科,呼吸与危重症医学科,主任医师,教授,3.7,1279,肺结节性质判断，肺癌、食管癌的无创根治和综合治疗。,"1,752,291次",130篇,1279位,9位,11位,,,
