姓名,省/直辖市,市/区,医院,科室类别,科室,职称,教育职称,综合推荐热度,在线问诊量,擅长,个人网站总访问,个人网站总文章,个人网站总患者,微信诊后报道患者,总诊后报到患者,诊后服务星,诊治后患者数,随访中患者数
李建平,北京,西城,北京大学第一医院,内科,心血管内科,主任医师,教授,3.6,66,冠心病介入治疗,"138,659次",0篇,66位,0位,6位,,,
丁文惠,北京,西城,北京大学第一医院,内科,心血管内科,主任医师,教授,3.5,,冠心病心绞痛、心肌梗死，高血压、心脏瓣膜病、心肌病、各种原因导致的心力衰竭以及心血管急危重症的诊治,,,,,,,,
马为,北京,西城,北京大学第一医院,内科,心血管内科,副主任医师,,3.8,1999,高血压(尤其是难治性高血压），瓣膜病及先心病介入治疗，心房颤动左心耳封堵，肺栓塞、肺动脉球囊扩张术、肺动脉高压，卵圆孔未闭封堵，心源性脑栓塞的检出和治疗，肿瘤心脏病学,"1,765,329次",29篇,1999位,324位,333位,3,452例,258例
郑博,北京,西城,北京大学第一医院,内科,心血管内科,主任医师,副教授,3.7,450,冠心病介入诊疗，复杂冠脉介入治疗，冠脉内影像和功能学检查,"113,612次",5篇,450位,146位,149位,,,
霍勇,北京,西城,北京大学第一医院,内科,心血管内科,主任医师,教授,3.7,,心血管疑难、重症的诊治，冠心病的介入治疗,,,,,,,,
洪涛,北京,西城,北京大学第一医院,内科,心血管内科,主任医师,教授,3.6,155,冠心病介入治疗、急性心肌梗死救护治疗、心内科危急重症的监护治疗、床旁血流动力学监测以及冠心病、高血压、心力衰竭、高血脂的药物治疗,"390,734次",6篇,155位,8位,15位,,,
龚艳君,北京,西城,北京大学第一医院,内科,心血管内科,主任医师,副教授,3.6,118,冠心病的诊断与治疗，包括非介入治疗及介入治疗以及患者的长期管理；高血脂、高血压、心力衰竭、心血管危重症等心内科疾病的诊断和治疗。,"80,162次",0篇,118位,33位,34位,,,
陈明,北京,西城,北京大学第一医院,内科,心血管内科,主任医师,教授,3.6,1479,主要擅长冠心病药物和介入治疗。,"3,264,535次",2篇,1479位,107位,110位,,,
张宝娓,北京,西城,北京大学第一医院,内科,心血管内科,主任医师,教授,3.6,,高血压、高脂血症、冠心病药物治疗、超声心动图诊断,,,,,,,,
周菁,北京,西城,北京大学第一医院,内科,心血管内科,主任医师,副教授,3.6,148,各种快速性心律失常的射频消融手术、永久心脏起搏器植入术等,"122,652次",0篇,148位,2位,2位,,,
吴林,北京,西城,北京大学第一医院,内科,心血管内科,主任医师,教授,3.5,27,各种心律失常及复杂心血管病的诊断与治疗，尤其擅长各种遗传性离子通道病如长QT综合征、Brugada综合征、儿茶酚胺敏感性室速等的诊断和治疗。,"57,365次",0篇,27位,0位,0位,,,
盛琴慧,北京,西城,北京大学第一医院,内科,心血管内科,主任医师,副教授,3.5,23,心律失常，心脏起搏器植入，电生理检查和射频消融术，慢性心率衰竭的器械治疗,"18,663次",0篇,23位,4位,4位,,,
蒋捷,北京,西城,北京大学第一医院,内科,心血管内科,主任医师,副教授,3.5,18,心律失常诊断与治疗，包括房颤、室上性、室性心律失常的射频消融治疗、缓慢心律失常的起搏器治疗，房颤药物治疗及抗凝治疗管理。,"91,284次",4篇,18位,0位,0位,,,
崔文欣,北京,西城,北京大学第一医院,内科,心血管内科,主任医师,教授,3.5,12,心血管内科常见疾病，高血压，冠心病，高脂血症的诊断和治疗，心肺功能评估及心脏康复指导,"29,418次",0篇,12位,7位,7位,,,
齐丽彤,北京,西城,北京大学第一医院,内科,心血管内科,副主任医师,副教授,3.5,17,高血压、冠心病、心力衰竭的超声心动图检查和药物治疗,"69,118次",0篇,17位,0位,1位,,,
孟磊,北京,西城,北京大学第一医院,内科,心血管内科,主任医师,,3.5,,高血压、冠心病、心律失常、心力衰竭等心内科疾病的诊断和治疗，超声心动图检查诊断,,,,,,,,
王新刚,北京,西城,北京大学第一医院,内科,心血管内科,副主任医师,副教授,3.5,5,冠心病介入治疗,"4,451次",0篇,5位,0位,0位,,,
吴树燕,北京,西城,北京大学第一医院,内科,心血管内科,主任医师,教授,3.5,,高血压、冠心病的防治；心肌病、心肌炎、心力衰竭、瓣膜病的药物治疗,,,,,,,,
李琳,北京,西城,北京大学第一医院,内科,心血管内科,主任医师,教授,3.5,,心血管疾病中冠心病、高血压、瓣膜病、心律失常、心功能不全和血脂代谢紊乱等疾病的非介入性诊治，心血管系统常见病、疑难病和危重病的诊治,,,,,,,,
张岩,北京,西城,北京大学第一医院,内科,心血管内科,主任医师,,3.4,,冠心病、高血压等心血管常见病的临床诊疗,,,,,,,,
