姓名,省/直辖市,市/区,医院,科室类别,科室,职称,教育职称,综合推荐热度,在线问诊量,擅长,个人网站总访问,个人网站总文章,个人网站总患者,微信诊后报道患者,总诊后报到患者,诊后服务星,诊治后患者数,随访中患者数
李双斌,吉林,吉林,吉林市中心医院,内科,心内科,主任医师,教授,3.2,,冠脉造影检查、经皮冠状动脉腔内成形术（PTCA）、冠脉支架置入术，心脏电生理检查及射频消融术、先天性心脏病介入封堵术、人工心脏起搏器植入术等心脏病的临床与介入技术,,,,,,,,
黄仑,吉林,吉林,吉林市中心医院,内科,心内科,主任医师,教授,3.2,,心脏临时及永久起搏器、ICD、CRT-D的安装、选择性冠状动脉造影及冠脉内介入治疗,,,,,,,,
钱大为,吉林,吉林,吉林市中心医院,内科,心内科,主任医师,教授,3.1,,心血管疾病,,,,,,,,
吕艳秀,吉林,吉林,吉林市中心医院,内科,心内科,主任医师,,2.9,,心血管疾病临床和介入治疗,,,,,,,,
乔森,吉林,吉林,吉林市中心医院,内科,心内科,主任医师,教授,3.3,,心血管病，尤其是老年心血管病危重症的救治,"25,303次",0篇,0位,0位,0位,,,
娄凤云,吉林,吉林,吉林市中心医院,内科,心内科,主任医师,教授,3.2,,冠心病、心肌梗塞、心绞痛、心律失常、心悸、心肌病、先天性心脏病、脑血栓、脑供血不足等疾病,,,,,,,,
李颖,吉林,吉林,吉林市中心医院,内科,心内科,主任医师,,3.2,9,冠心病、急性心梗、冠脉造影及冠脉支架植入术、高血压、心力衰竭、先心病介入封堵术、心律失常射频消融等。,"51,383次",0篇,9位,0位,0位,,,
付刚,吉林,吉林,吉林市中心医院,内科,心内科,副主任医师,,3.1,,冠心病的介入检查与治疗,,,,,,,,
肖燕华,吉林,吉林,吉林市中心医院,内科,心内科,主任医师,教授,3.1,,,,,,,,,,
王君,吉林,吉林,吉林市中心医院,内科,心内科,主任医师,,3.0,,在冠心病、高血压、心律失常、心脏瓣膜病、心力衰竭等诊治方面有着扎实的理论功底和丰富的临床经验，尤其是冠心病的介入检查与治疗,,,,,,,,
王晖,吉林,吉林,吉林市中心医院,内科,心内科,副主任医师,,3.0,,疑难心血管疾病的诊断与治疗，对冠心病、高血压、心力衰竭、多脏器功能衰竭等疾病的诊治具有丰富的临床经验,,,,,,,,
耿威,吉林,吉林,吉林市中心医院,内科,心内科,副主任医师,,2.9,,冠心病介入诊治、高血压、心律失常、急慢性心衰的诊断及治疗,,,,,,,,
窦悦,吉林,吉林,吉林市中心医院,内科,心内科,副主任医师,,2.9,,冠心病、高血压、心律失常等疾病的诊断和治疗,,,,,,,,
刘伟恒,吉林,吉林,吉林市中心医院,内科,心内科,副主任医师,,2.9,,冠心病介入诊治、高血压、心律失常、急慢性心衰的诊断及治疗,,,,,,,,
杨爱民,吉林,吉林,吉林市中心医院,内科,心内科,副主任医师,,2.9,,老年心血管病危重症的救治,,,,,,,,
唐怀宇,吉林,吉林,吉林市中心医院,内科,心内科,主任医师,,2.9,,心血管疾病临床和介入治疗,,,,,,,,
马逸,吉林,吉林,吉林市中心医院,内科,心内科,主任医师,,2.9,14,心脏病的临床与介入治疗,"34,844次",0篇,14位,13位,13位,,,
尚怡君,吉林,吉林,吉林市中心医院,内科,心内科,主任医师,,2.9,,心脏病的临床与介入治疗,,,,,,,,
邢继满,吉林,吉林,吉林市中心医院,内科,心内科,主任医师,,2.9,,心脏病的临床与介入治疗,,,,,,,,
王春生,吉林,吉林,吉林市中心医院,内科,心内科,副主任医师,,2.9,,心血管常见病、多发病的诊治，冠心病的介入检查与治疗、人工心脏起搏器植入术、心脏电生理检查及射频消融术。,,,,,,,,
孙昭辉,吉林,吉林,吉林市中心医院,内科,心内科,副主任医师,,2.9,,擅长心血管疾病，尤其是危重症、老年心血管病的救治。,,,,,,,,
徐敬海,吉林,吉林,吉林市中心医院,内科,心内科,副主任医师,,2.9,,对心内科常见病、多发病的诊治，擅长心内科急危重症的抢救，心血管介入工作。,,,,,,,,
詹景冬,吉林,吉林,吉林市中心医院,内科,心内科,副主任医师,,2.9,,心血管常见病、多发病，尤其是冠心病、高血压、心律失常、急性心梗和心力衰竭等各种常见病、多发病及急危重症和疑难病症的诊断治疗。,,,,,,,,
周铄,吉林,吉林,吉林市中心医院,内科,心内科,主治医师,,2.9,,心血管内科疾病的诊断及治疗,,,,,,,,
张杨,吉林,吉林,吉林市中心医院,内科,心内科,主治医师,,2.9,,心血管疾病诊断治疗及心血管影像诊断,,,,,,,,
陈丹,吉林,吉林,吉林市中心医院,内科,心内科,副主任医师,,2.8,,冠心病介入治疗,,,,,,,,
孟军,吉林,吉林,吉林市中心医院,内科,心内科,副主任医师,,2.8,,心脑血管的常见病和多发病诊治,,,,,,,,
李恒斌,吉林,吉林,吉林市中心医院,内科,心内科,副主任医师,,2.8,,心脏病的临床与介入治疗,,,,,,,,
孙宇,吉林,吉林,吉林市中心医院,内科,心内科,主治医师,讲师,2.8,,冠心病、高血压、心力衰竭、心律失常,"11,599次",0篇,0位,0位,0位,,,
柏丽莉,吉林,吉林,吉林市中心医院,内科,心内科,副主任医师,,2.8,,冠心病、高血压、心律失常和心力衰竭等各种常见、急危重症和疑难病症的诊断治疗，冠脉介入治疗技术,,,,,,,,
