姓名,省/直辖市,市/区,医院,科室类别,科室,职称,教育职称,综合推荐热度,在线问诊量,擅长,个人网站总访问,个人网站总文章,个人网站总患者,微信诊后报道患者,总诊后报到患者,诊后服务星,诊治后患者数,随访中患者数
李南方,新疆,乌鲁木齐,新疆维吾尔自治区人民医院,内科,心血管内科、高血压科,主任医师,教授,3.4,,复杂疑难高血压、心血管病的诊疗,,,,,,,,
李国庆,新疆,乌鲁木齐,新疆维吾尔自治区人民医院,内科,心血管内科、高血压科,主任医师,,3.0,,心血管内科疑难危重疾病,,,,,,,,
姚娟,新疆,乌鲁木齐,新疆维吾尔自治区人民医院,内科,心血管内科、高血压科,主任医师,教授,3.2,,冠心病、高血压、心力衰竭、心律失常等疾病,,,,,,,,
戴晓燕,新疆,乌鲁木齐,新疆维吾尔自治区人民医院,内科,心血管内科、高血压科,主任医师,教授,3.2,,冠心病、高血压、心肌病、瓣膜病、心律失常、充血性心力衰竭等病的诊断治疗，专长冠心病介入治疗（支架术）。,,0篇,0位,0位,0位,,,
涂良珍,新疆,乌鲁木齐,新疆维吾尔自治区人民医院,内科,心血管内科、高血压科,主任医师,教授,3.2,,心内膜活检术，心肌炎与超微结构诊治,,,,,,,,
穆叶赛·尼加提,新疆,乌鲁木齐,新疆维吾尔自治区人民医院,内科,心血管内科、高血压科,主任医师,,3.1,,冠心病、高血压、心力衰竭等疾病的诊治,,,,,,,,
彭辉,新疆,乌鲁木齐,新疆维吾尔自治区人民医院,内科,心血管内科、高血压科,主任医师,,3.1,,高血压、冠心病、心力衰竭、心律失常、瓣膜病等疾病的诊治以及心血管急危重症的抢救,,,,,,,,
高方明,新疆,乌鲁木齐,新疆维吾尔自治区人民医院,内科,心血管内科、高血压科,主任医师,,3.1,,心脏病的重症抢救治疗,,,,,,,,
雷建新,新疆,乌鲁木齐,新疆维吾尔自治区人民医院,内科,心血管内科、高血压科,主任医师,,3.1,,冠心病及心血管急危重症的抢救治疗,,,,,,,,
王新玲,新疆,乌鲁木齐,新疆维吾尔自治区人民医院,内科,心血管内科、高血压科,主任医师,,3.1,,高血压性肾病及肾性高血压的诊断治疗,,,,,,,,
任澎,新疆,乌鲁木齐,新疆维吾尔自治区人民医院,内科,心血管内科、高血压科,主任医师,副教授,3.1,,心血管疾病、疑难症、各类心律失常、心功能不全不全,,,,,,,,
