姓名,省/直辖市,市/区,医院,科室类别,科室,职称,教育职称,综合推荐热度,在线问诊量,擅长,个人网站总访问,个人网站总文章,个人网站总患者,微信诊后报道患者,总诊后报到患者,诊后服务星,诊治后患者数,随访中患者数
许爱兰,新疆,克孜勒苏,乌恰县人民医院,内科,普通内科,副主任医师,,2.5,,,,,,,,,,
宋建国,新疆,克孜勒苏,乌恰县人民医院,内科,普通内科,主治医师,,2.4,64,糖尿病、慢性胃炎、胃溃疡、十二指肠溃疡、炎症性肠病的诊断及治疗。,"101,734次",4篇,64位,5位,5位,,,
戴虹,新疆,克孜勒苏,乌恰县人民医院,外科,普外科,主任医师,,2.5,,,,,,,,,,
卢勇,新疆,克孜勒苏,乌恰县人民医院,外科,普外科,主任医师,,2.5,,,,,,,,,,
姚远庆,新疆,克孜勒苏,乌恰县人民医院,外科,普外科,主任医师,,2.5,,,,,,,,,,
巴合提努尔·坎加库力,新疆,克孜勒苏,乌恰县人民医院,妇儿,妇产科,副主任医师,,2.5,,,,,,,,,,
房华,新疆,克孜勒苏,乌恰县人民医院,妇儿,儿科,主任医师,,2.5,,,,,,,,,,
黄燕,新疆,克孜勒苏,乌恰县人民医院,其他,药剂科,副主任药师,,2.5,,,,,,,,,,
陆华芳,新疆,克孜勒苏,乌恰县人民医院,其他,中医科,副主任医师,,2.7,,,,,,,,,,
邵云强,新疆,克孜勒苏,克州人民医院,外科,泌尿外科,住院医师,,2.8,4,泌尿系结石、泌尿系肿瘤、前列腺增生、慢性前列腺炎、包皮过长、精索静脉曲张、隐睾、鞘膜积液、肾囊肿等疾病诊疗！,572次,0篇,4位,2位,2位,,,
韩建玲,新疆,克孜勒苏,克州人民医院,妇儿,儿科,主任医师,,3.0,41,小儿呼吸疾病,"16,704次",0篇,41位,41位,41位,,,
邹汉民,新疆,克孜勒苏,克州人民医院,其他,皮肤性病科,主治医师,,3.1,,,579次,0篇,0位,0位,0位,,,
盛中峰,新疆,克孜勒苏,克州人民医院,其他,肿瘤内科,住院医师,,2.7,,肿瘤科常见疾病等,"4,306次",0篇,0位,0位,0位,,,
展昭兴,新疆,克孜勒苏,阿克陶县人民医院,外科,泌尿外科,住院医师,,2.5,1,泌尿系结石、前列腺增生、前列腺炎、尿路感染、精索静脉曲张，急性睾丸附睾炎等泌尿系疾病,"14,257次",0篇,1位,0位,0位,,,
郭宗会,新疆,克孜勒苏,阿克陶县人民医院,外科,泌尿外科,住院医师,,2.5,,泌尿系结石，肾囊肿，前列腺增生，泌尿系感染，精索静脉曲张，隐睾，鞘膜积液,,,,,,,,
哈吾力江·卡哈尔,新疆,克孜勒苏,克州维吾尔医医院,其他,骨科,主治医师,,3.1,,骨创伤的诊治,"3,468次",0篇,0位,0位,0位,,,
