姓名,省/直辖市,市/区,医院,科室类别,科室,职称,教育职称,综合推荐热度,在线问诊量,擅长,个人网站总访问,个人网站总文章,个人网站总患者,微信诊后报道患者,总诊后报到患者,诊后服务星,诊治后患者数,随访中患者数
衡林,新疆,博尔塔拉,精河县人民医院,内科,心血管内科,副主任医师,,2.5,,,,,,,,,,
杜冬梅,新疆,博尔塔拉,精河县人民医院,内科,心血管内科,主任医师,,2.5,,,,,,,,,,
田伟,新疆,博尔塔拉,精河县人民医院,内科,心血管内科,住院医师,,2.4,,心内科常见疾病的诊治,,0篇,0位,0位,0位,,,
刘丽萍,新疆,博尔塔拉,精河县人民医院,内科,内科,主任医师,,2.5,,,,,,,,,,
陈拥政,新疆,博尔塔拉,精河县人民医院,外科,普外科,副主任医师,,2.5,,,,,,,,,,
刘毅,新疆,博尔塔拉,精河县人民医院,外科,骨科,主任医师,,2.5,,,,,,,,,,
尹玉茹,新疆,博尔塔拉,精河县人民医院,妇儿,妇产科,副主任医师,,2.5,,,,,,,,,,
李英,新疆,博尔塔拉,精河县人民医院,妇儿,妇产科,副主任医师,,2.5,,,,,,,,,,
夏玲,新疆,博尔塔拉,精河县人民医院,妇儿,妇产科,副主任医师,,2.5,,,,,,,,,,
王红英,新疆,博尔塔拉,精河县人民医院,妇儿,儿科,主任医师,,2.5,,,,,,,,,,
王菱,新疆,博尔塔拉,精河县人民医院,妇儿,儿科,副主任医师,,2.5,,,,,,,,,,
夏·吐尔巴依尔,新疆,博尔塔拉,精河县人民医院,妇儿,儿科,副主任医师,,2.5,,,,,,,,,,
刘凤玲,新疆,博尔塔拉,精河县人民医院,其他,检验科,副主任技师,,2.4,,,,,,,,,,
王清芝,新疆,博尔塔拉,精河县人民医院,其他,检验科,主任技师,,2.4,,,,,,,,,,
包·巴音其其格,新疆,博尔塔拉,精河县人民医院,其他,检验科,副主任技师,,2.4,,,,,,,,,,
陈金凤,新疆,博尔塔拉,精河县人民医院,其他,医学影像科,副主任医师,,2.5,,,,,,,,,,
朱洪伟,新疆,博尔塔拉,精河县人民医院,其他,医学影像科,副主任医师,,2.5,,,,,,,,,,
陈丽,新疆,博尔塔拉,精河县人民医院,其他,药剂科,主任药师,,2.5,,,,,,,,,,
顾云,新疆,博尔塔拉,精河县人民医院,其他,康复科,主任医师,,2.5,,,,,,,,,,
蒋满妹,新疆,博尔塔拉,精河县人民医院,其他,中医科,主任药师,,2.6,,,,,,,,,,
孙建国,新疆,博尔塔拉,精河县人民医院,其他,超声科,副主任医师,,2.5,,,,,,,,,,
毛卫明,新疆,博尔塔拉,精河县人民医院,其他,麻醉科,副主任医师,,2.5,,,,,,,,,,
李萍,新疆,博尔塔拉,精河县人民医院,其他,眼科,副主任医师,,2.5,,,,,,,,,,
梁衍,新疆,博尔塔拉,温泉县人民医院,内科,普通内科,主任医师,,2.7,,内科疾病尤其是心血管内科疾病诊治，开展心肌梗死药物溶栓治疗，心脏电复律、除颤技术，各种心律失常的药物治疗，急慢性心衰的规范化治疗，心房调博技术等新技术新项目。,,,,,,,,
李文艳,新疆,博尔塔拉,温泉县人民医院,内科,普通内科,副主任医师,,2.6,,胃十二指肠溃疡、反流性食管炎及幽门门螺旋杆菌的规范诊治及高血压、冠心病等内科疾病的诊治,,,,,,,,
叶小红,新疆,博尔塔拉,温泉县人民医院,内科,普通内科,副主任医师,,2.5,,对内儿科、精神科常见病、多发病及危急重症患者有丰富临床经验。,,,,,,,,
叶尔登其其克,新疆,博尔塔拉,温泉县人民医院,内科,急诊科,副主任医师,,2.7,,擅长内儿科常见病、多发病的诊治。,,,,,,,,
胡回忆,新疆,博尔塔拉,温泉县人民医院,外科,外科,副主任医师,,3.1,213,胃肠肛门疾病、腹壁疝的手术治疗,"229,077次",8篇,213位,95位,95位,,,
徐会涛,新疆,博尔塔拉,温泉县人民医院,外科,骨科,主治医师,,2.6,,骨料的临床诊治，尤其是创伤骨科,,,,,,,,
徐凤梅,新疆,博尔塔拉,温泉县人民医院,妇儿,妇产科,副主任医师,,2.7,,妇产科常见病及多发病的诊治。能够熟练完成腹腔镜下卵巢囊肿剥除手术、附件切除术及输卵管切除及结扎手术,,,,,,,,
闫芳,新疆,博尔塔拉,温泉县人民医院,妇儿,妇产科,副主任医师,,2.5,,妇产科常见病及多发病、妇科内分泌、围绝经期及老年期妇科疾病诊疗。可熟练并独立完成妇产科各级手术,,,,,,,,
韩灵杰,新疆,博尔塔拉,温泉县人民医院,其他,口腔科,主治医师,,2.6,,口腔正畸，修复牙体牙髓疾病的治疗。,,,,,,,,
娄渊斐,新疆,博尔塔拉,温泉县人民医院,其他,口腔科,住院医师,,2.5,,口腔内科治疗、口腔修复、常见病的诊疗,,,,,,,,
李同玲,新疆,博尔塔拉,温泉县人民医院,其他,麻醉科,主任医师,,2.5,,临床各科的急症危重病人临床麻醉、困难气道处理、危急症患者抢救及急慢性疼痛的诊治,,,,,,,,
胡娟,新疆,博尔塔拉,温泉县人民医院,其他,麻醉科,主任医师,,2.5,,有丰富的临床麻醉、重症监测治疗及疼痛治疗经验，熟练掌握气管插管全麻，椎管内麻醉等麻醉技术，能处理围术期的常见合并症及危重病人的抢救与复苏,,,,,,,,
财让簇,新疆,博尔塔拉,温泉县人民医院,其他,中西医结合科,主任医师,,2.8,,中医针灸科常见病、多发病治疗。,,,,,,,,
刘秋梅,新疆,博尔塔拉,温泉县人民医院,其他,中医科,副主任医师,,2.7,,中西医结合内科疾病及常见皮肤病。,,,,,,,,
何红霞,新疆,博尔塔拉,温泉县人民医院,其他,耳鼻喉科,,,2.4,,眼耳鼻喉常见病的诊治,,,,,,,,
巴登其其克,新疆,博尔塔拉,博尔塔拉蒙古自治州人民医院,内科,心血管内科,主治医师,,2.9,63,高血压，冠心病，心衰等,"25,634次",3篇,63位,58位,58位,,,
太来提·阿吉,新疆,博尔塔拉,博尔塔拉蒙古自治州人民医院,内科,心血管内科,副主任医师,,2.9,3,高血压，急慢性心衰，冠心病，心律失常，心肌病，高血脂等内科常见疾病的诊治,"5,392次",0篇,3位,3位,3位,,,
艾丽菲来·艾力,新疆,博尔塔拉,博尔塔拉蒙古自治州人民医院,内科,心血管内科,住院医师,,2.9,213,高血压，冠心病，心衰等,"52,201次",2篇,213位,209位,210位,,,
西热娜依,新疆,博尔塔拉,博尔塔拉蒙古自治州人民医院,内科,心血管内科,住院医师,,2.7,,高血压，急慢性心衰，冠心病，心律失常，心肌病，高血脂等内科常见疾病的诊治,"6,502次",0篇,0位,0位,0位,,,
祖木热提·阿不都热合曼,新疆,博尔塔拉,博尔塔拉蒙古自治州人民医院,内科,老年病科,主治医师,,2.9,9,老年心脑血管及呼吸道疾病的诊治,"11,163次",0篇,9位,9位,9位,,,
艾衣坦·阿依特哈孜,新疆,博尔塔拉,博尔塔拉蒙古自治州人民医院,内科,普通内科,副主任医师,,2.9,2,普通内科常见疾病的诊治，如高血压，高血脂，冠心病，糖尿病等,"5,199次",0篇,2位,2位,2位,,,
吾加巴特,新疆,博尔塔拉,博尔塔拉蒙古自治州人民医院,内科,感染内科,主任医师,,2.9,89,各种传染病的诊治，如各种肝炎、肝硬化、肺结核、布氏杆菌病、艾滋病、麻疹、腮腺炎、感染性腹泻及发热性疾病、及传染病的预防、保健。,"98,544次",4篇,89位,23位,24位,,,
向志勇,新疆,博尔塔拉,博尔塔拉蒙古自治州人民医院,内科,消化内科,副主任医师,,2.9,,,"1,697次",0篇,0位,0位,0位,,,
李永生,新疆,博尔塔拉,博尔塔拉蒙古自治州人民医院,内科,神经内科,副主任医师,,2.9,10,脑血管病、癫痫、周围神经病、运动神经元病、中枢神经系统感染、头痛、头晕等常见病、多发病、疑难病的诊治。,"10,196次",0篇,10位,7位,7位,,,
巴塔,新疆,博尔塔拉,博尔塔拉蒙古自治州人民医院,外科,骨科,主任医师,,2.9,2,各类复杂骨折的重建，人工髋关节、膝关节置换的研究及临床应用，脊柱疾病的诊断和手术治疗,"9,735次",0篇,2位,0位,0位,,,
巴音达拉,新疆,博尔塔拉,博尔塔拉蒙古自治州人民医院,外科,骨科,住院医师,,2.8,,能有效对骨科多发病，常见病及部分疑难骨科手术。熟练开展一二三级骨科手术，开展了四肢骨折微创插入钢板内固定术，小儿四肢骨折弹性钉内固定术，老年粗隆间骨折行PFN-A及DHS内固定治疗，肱骨及胫骨骨折闭合复位髓内钉内固定术，胸腰段骨折后路内固定,"9,162次",0篇,0位,0位,0位,,,
杨旭,新疆,博尔塔拉,博尔塔拉蒙古自治州人民医院,外科,泌尿外科,主治医师,,2.8,2,擅长泌尿外科：男科疾病(阳痿、早泄)炎性疾病(急慢性前列腺炎/膀胱炎)；结石疾病(肾/输尿管/膀胱/尿道结石)；肿瘤疾病(肾上腺肿瘤/肾良恶性肿瘤/膀胱肿瘤)；小儿泌尿疾病(包皮过长、隐匿性阴茎等),"2,636次",0篇,2位,1位,1位,,,
新华,新疆,博尔塔拉,博尔塔拉蒙古自治州人民医院,妇儿,儿科,主任医师,,3.0,12,小儿早产，黄疸，肺炎，腹泻等,"9,957次",0篇,12位,12位,12位,,,
伊力夏提·伊明江,新疆,博尔塔拉,博尔塔拉蒙古自治州人民医院,其他,麻醉科,主治医师,,2.8,,"1.疼痛治疗：带状疱疹，肩周炎，骨性关节炎，，腱鞘炎，腰椎间盘突出，癌痛。
2. 无痛分娩，无痛胃肠镜，术前麻醉评估。",485次,0篇,0位,0位,0位,,,
杨浩,新疆,博尔塔拉,新疆生产建设兵团第五师医院,内科,神经内科,住院医师,,2.7,1,,393次,0篇,1位,0位,0位,,,
曹守根,新疆,博尔塔拉,新疆生产建设兵团第五师医院,外科,普外科,副主任医师,讲师,3.4,164,擅长胃癌、结直肠癌以及胃肠道间质瘤的外科治疗，尤其是腹腔镜及机器人微创手术，如全腹腔镜胃癌根治术，腹腔镜超低位直肠癌保肛手术，腹腔镜全结肠系膜切除术等。擅长肠瘘及腹腔感染等疑难危重腹部外科疾病的综合治疗。,"103,608次",6篇,164位,133位,133位,,,
牛庆胜,新疆,博尔塔拉,新疆生产建设兵团第五师医院,外科,普外科,主治医师,,2.7,5,"熟练掌握各类成人及儿童腹股沟疝、乳腺癌、乳腺良性肿瘤、胆囊息肉、胆囊结石诊治，并积累了比较丰富的经验。
手术方面：
1、擅长腹腔镜胆囊切除、腹腔镜疝修补术、乳腺良性肿物微创手术、乳腺癌根治术等。
2、对各种小儿腹股沟疝、复杂疝及成人复发疝有较多治疗经验。
3、处理各种急慢性阑尾炎的经验丰富，尤其是微创（腹腔镜）阑尾切除。","8,348次",8篇,5位,4位,4位,,,
连海伟,新疆,博尔塔拉,新疆生产建设兵团第五师医院,外科,神经外科,副主任医师,,2.8,1,颅脑损伤、脑血管疾病、脑肿瘤的诊治,"30,484次",0篇,1位,0位,0位,,,
