姓名,省/直辖市,市/区,医院,科室类别,科室,职称,教育职称,综合推荐热度,在线问诊量,擅长,个人网站总访问,个人网站总文章,个人网站总患者,微信诊后报道患者,总诊后报到患者,诊后服务星,诊治后患者数,随访中患者数
阿米娜·马木提,新疆,和田,和田地区人民医院,内科,呼吸内科,主任医师,,3.1,,,,,,,,,,
阿布都克尤木·阿不力米提,新疆,和田,和田地区人民医院,内科,呼吸内科,副主任医师,,3.0,,诊治呼吸科常见疾病，如，肺炎、支气管哮喘、慢性阻塞性肺病、肺心病、支气管扩张、胸腔积液等，在慢性阻塞性肺病急性发作期合并呼吸衰竭、重症肺炎合并呼吸衰竭等重大疾病有丰富的临床经验，且熟练掌握呼吸机、支气管镜检查、肺功能检查、睡眠监测技术等技术,,,,,,,,
盛建华,新疆,和田,和田地区人民医院,内科,呼吸内科,副主任医师,,3.0,,急危重症及呼吸科内科疾病,,,,,,,,
阿衣加马力·吾甫尔,新疆,和田,和田地区人民医院,内科,呼吸内科,住院医师,,2.9,,肺炎、哮喘、咳嗽变异性哮喘、慢支、慢阻肺、肺心病、肺栓塞、睡眠呼吸障碍、胸腔积液等呼吸系统疾病的治疗和预防；专治烟草依赖综合症；,,,,,,,,
卡地尔·依米提,新疆,和田,和田地区人民医院,内科,心血管内科,主任医师,,2.8,,心血管疾病的诊断治疗及心血管疾病介入治疗。,,,,,,,,
阿布力米提·米吉提,新疆,和田,和田地区人民医院,内科,心血管内科,副主任医师,,2.8,,心律失常的射频消融及起博治疗，心内科常见病的诊治。,,,,,,,,
曾茹,新疆,和田,和田地区人民医院,内科,心血管内科,住院医师,,2.7,,高血压 、冠心病、心力衰竭及各种心率失常，心脏瓣膜病的诊治。,,,,,,,,
阿力木江·胡皮丁,新疆,和田,和田地区人民医院,内科,心血管内科,住院医师,,2.7,,心内科常见病的诊断及治疗,,,,,,,,
阿达莱提·夏吾东,新疆,和田,和田地区人民医院,内科,内分泌科,主任医师,,2.9,,内分泌及代谢性疾病的诊治,,,,,,,,
阿依努尔·木合它尔,新疆,和田,和田地区人民医院,内科,内分泌科,副主任医师,,2.8,,糖尿病，甲状腺疾病，垂体疾病等诊治,,,,,,,,
王海瑛,新疆,和田,和田地区人民医院,内科,肾病内科,主任医师,,2.8,,肾脏疾病、高血压的诊断及血液净化技术,,,,,,,,
余翔,新疆,和田,和田地区人民医院,内科,肾病内科,副主任医师,,2.8,,西医辩证、中医辩证诊疗肾、肺系统疾病。,,,,,,,,
阿不力克木·库尔班,新疆,和田,和田地区人民医院,内科,神经内科,主任医师,,2.9,,脑卒中、头疼、癲痫、帕金森病、脊髓及周围神经病、心理咨询。,,,,,,,,
胡春萍,新疆,和田,和田地区人民医院,内科,神经内科,住院医师,,2.7,,脑血管病、癫痫 、周围神经病、头痛头晕常见病诊疗,,,,,,,,
阿尔祖古丽·米吉提,新疆,和田,和田地区人民医院,内科,消化内科,住院医师,,2.7,,熟悉消化科常见病多发病的诊断及治疗，特长是消化科内镜疑难病的诊断及治疗。,,,,,,,,
贾宏才,新疆,和田,和田地区人民医院,外科,骨科,副主任医师,,2.8,,创伤、关节、脊柱复杂伤病的诊断,,,,,,,,
胡济南,新疆,和田,和田地区人民医院,外科,骨科,副主任医师,,2.8,,脊柱骨折、退变、结核、脊柱微创治疗，四肢骨折,,,,,,,,
买买提依明·买吐地,新疆,和田,和田地区人民医院,外科,骨科,副主任医师,,2.8,,骨科疑难杂症，微创钢板外置手术,,,,,,,,
曹留成,新疆,和田,和田地区人民医院,外科,骨科,住院医师,,2.8,1,骨科常见骨折创伤，成人四肢、骨盆、脊柱的骨折，小儿四肢骨折，术后的康复指导。,"1,626次",0篇,1位,0位,0位,,,
严杰,新疆,和田,和田地区人民医院,外科,骨科,住院医师,,2.8,,骨科常见疾病诊断及运动损伤医学诊疗,449次,0篇,0位,0位,0位,,,
阿布力孜·买买提艾力,新疆,和田,和田地区人民医院,外科,心胸外科,主任医师,,3.0,,心脏大血管病，心脏瓣膜病、先天性心脏病、食管癌、肺癌、纵隔肿瘤；甲状腺及乳腺外科疾病的诊治,"2,589次",0篇,0位,0位,0位,,,
王春荣,新疆,和田,和田地区人民医院,外科,心胸外科,主任医师,,2.9,,乳腺、甲状腺疾病的诊治，乳腺癌的规范化个体化、精准化综合治疗。,,,,,,,,
郜侠,新疆,和田,和田地区人民医院,外科,心胸外科,住院医师,,2.8,,心胸外科常见病及乳腺外科疾病诊疗,,,,,,,,
帕尔哈提·马木提,新疆,和田,和田地区人民医院,外科,肝胆外科,副主任医师,,2.8,,普外科常见病多发病诊治及微创手术治疗。,,,,,,,,
陈岭坡,新疆,和田,和田地区人民医院,外科,肝胆外科,住院医师,,2.8,1,擅长常见肝胆胃肠内外科相关疾病以及对各种切口感染有独到之处,,0篇,1位,1位,1位,,,
吐尔洪·买买提明,新疆,和田,和田地区人民医院,外科,肛肠外科,副主任医师,,2.8,,肛肠科常见病及多发病的诊断治疗。,,,,,,,,
刘依寒,新疆,和田,和田地区人民医院,外科,肛肠外科,住院医师,,2.8,,各种肛肠疾病的诊疗,,,,,,,,
侯江江,新疆,和田,和田地区人民医院,外科,泌尿外科,住院医师,,2.9,60,泌尿系结石手术及药物治疗，前列腺增生及前列腺炎的诊疗，排尿功能障碍、尿失禁的微创手术及康复治疗，间质性膀胱炎、慢性盆腔疼痛、女性盆底脏器脱垂、尿频尿急、夜间遗尿、膀胱阴道瘘以及排尿困难等疑难疾病。,"11,094次",1篇,60位,27位,28位,,,
史旭文,新疆,和田,和田地区人民医院,外科,泌尿外科,住院医师,,2.8,,,718次,1篇,0位,0位,0位,,,
刘向伟,新疆,和田,和田地区人民医院,外科,普外科,住院医师,,2.7,,肝、胆、胰、脾、症、胃肠疾病的论断治疗，精通腹腔镜手术，对其他普外科疾病的诊治也有丰富的临床经验,,,,,,,,
饶阳,新疆,和田,和田地区人民医院,妇儿,妇产科,副主任医师,,3.8,493,妇科良性恶性肿瘤（外阴阴道、宫颈，子宫，卵巢肿瘤）的诊断及综合治疗，肿瘤遗传咨询，宫颈癌前病变筛查，异常子宫出血的诊治，子宫内膜增生的综合治疗，子宫内膜异位症子宫腺肌病手术等。熟悉掌握腹腔镜、开腹、宫腔镜手术及阴道镜检查,,0篇,493位,189位,189位,,,
米娜瓦尔·麦丁,新疆,和田,和田地区人民医院,妇儿,妇产科,主任医师,,3.0,,妇产科常见病，多发病及疑难病诊治，如妇科肿瘤，妇科炎症，卵巢囊肿，子宫内膜异位症，宫颈疾病，卵巢囊肿，月经不调，痛经，功血，不孕不育等，围产医学，围产保健，难产，习惯性流产的诊治等,"4,971次",0篇,0位,0位,0位,,,
库亚西克孜,新疆,和田,和田地区人民医院,妇儿,妇产科,副主任医师,,2.9,,妇产科常见疾病的诊治，如妇科炎症，肿瘤，月经不调，痛经，宫颈疾病，子宫内膜异位症等,"5,648次",0篇,0位,0位,0位,,,
范霞,新疆,和田,和田地区人民医院,妇儿,妇产科,主任医师,,2.9,,微创、内分泌、不孕不育及肿瘤,,,,,,,,
魏秀玲,新疆,和田,和田地区人民医院,妇儿,妇产科,副主任医师,,2.8,,妇科常见病及多发病的诊断治疗.,,,,,,,,
张秀香,新疆,和田,和田地区人民医院,妇儿,妇产科,副主任医师,,2.8,,产科各种疑难疾病及妇科常见病诊治,,,,,,,,
阿依古力·肉孜买买提,新疆,和田,和田地区人民医院,妇儿,妇产科,住院医师,,2.8,,妇科常见病及多发病的诊断及治疗（各种疑难上取环及人工流产手术等）。,,,,,,,,
玛热亚,新疆,和田,和田地区人民医院,妇儿,儿科,住院医师,,2.8,,小儿呼吸、消化、免疫疾病,"6,610次",0篇,0位,0位,0位,,,
陈满涛,新疆,和田,和田地区人民医院,其他,中医科,副主任医师,,3.1,,擅长中西医结合治疗带状疱疹、慢性荨麻疹、药疹、斑秃、黄褐斑、银屑病、湿疹、痤疮、白癜风、颈椎病、腰椎间盘突出症、关节炎等。,"13,476次",0篇,0位,0位,0位,,,
王力红,新疆,和田,和田地区人民医院,其他,中医科,副主任医师,,3.0,,中医药治疗内科杂病、妇科疾病、消化系统疾病及皮肤病等,,,,,,,,
艾尔肯·吐尔逊,新疆,和田,和田地区人民医院,其他,皮肤科,副主任医师,,3.2,,各种基缔组织病，红斑狼疮，天疱疮，银屑病，药疹等疾病的治疗,,,,,,,,
阿不都米吉提·阿不力孜,新疆,和田,和田地区人民医院,其他,皮肤科,住院医师,,3.1,,皮肤科及皮肤外科常见病，多发病诊治及手术治疗,,,,,,,,
