姓名,省/直辖市,市/区,医院,科室类别,科室,职称,教育职称,综合推荐热度,在线问诊量,擅长,个人网站总访问,个人网站总文章,个人网站总患者,微信诊后报道患者,总诊后报到患者,诊后服务星,诊治后患者数,随访中患者数
林荣,福建,泉州,福建省泉州市第一医院,内科,心内科,主任医师,教授,3.1,,急性心肌梗死介入治疗，冠状动脉复杂病变、分叉病变、慢性闭塞病变介入治疗，临时性和永久性起搏器植入术、ICD植入术、CRTD植入术、心律失常（房颤、房速、室上速、室速）射频消融术、高血压病、心力衰竭等各种心血管疑难病症的诊治,"24,071次",0篇,0位,0位,0位,,,
戴若竹,福建,泉州,福建省泉州市第一医院,内科,心内科,主任医师,教授,3.2,,心血管介入治疗及心脏康复,,,,,,,,
郭志军,福建,泉州,福建省泉州市第一医院,内科,心内科,主任医师,,3.1,,冠心病、高血压病及各种心血管病疑难病症的诊治,,,,,,,,
黄子厚,福建,泉州,福建省泉州市第一医院,内科,心内科,主任医师,副教授,3.1,,心血管疾病的诊疗,,,,,,,,
张强,福建,泉州,福建省泉州市第一医院,内科,心内科,副主任医师,,3.1,,冠心病的介入诊断和治疗及心血管危重症的救治,,,,,,,,
万发银,福建,泉州,福建省泉州市第一医院,内科,心内科,副主任医师,,3.0,,冠心病、心律失常、心血管重危病人的诊断及治疗,,,,,,,,
张克连,福建,泉州,福建省泉州市第一医院,内科,心内科,主治医师,,3.0,30,高血压、冠心病,"24,883次",0篇,30位,28位,28位,,,
陈天宝,福建,泉州,福建省泉州市第一医院,内科,心内科,主任医师,,3.0,1,冠心病、高血压病及各种心血管病疑难病症的诊治,"12,509次",0篇,1位,0位,0位,,,
施振宗,福建,泉州,福建省泉州市第一医院,内科,心内科,主任医师,,3.0,,内科心脑血管病,,,,,,,,
邓少雄,福建,泉州,福建省泉州市第一医院,内科,心内科,副主任医师,副教授,3.0,,,,,,,,,,
吴兵,福建,泉州,福建省泉州市第一医院,内科,心内科,副主任医师,,3.0,1,心血管疾病的介入治疗,"9,816次",0篇,1位,1位,1位,,,
方达伟,福建,泉州,福建省泉州市第一医院,内科,心内科,副主任医师,,3.0,6,高血压、冠心病,"15,366次",0篇,6位,6位,6位,,,
吴海云,福建,泉州,福建省泉州市第一医院,内科,心内科,副主任医师,,3.0,1,起搏器植入,"12,303次",0篇,1位,1位,1位,,,
王佳南,福建,泉州,福建省泉州市第一医院,内科,心内科,主治医师,,3.0,12,心律失常等,"5,420次",0篇,12位,12位,12位,,,
王凌,福建,泉州,福建省泉州市第一医院,内科,心内科,副主任医师,副教授,2.9,21,心律失常、高血压、冠心病、心力衰竭等常见心血管疾病诊疗，尤其擅长快速心律失常的射频消融治疗和缓慢心律失常的起搏器治疗。,"32,109次",1篇,21位,5位,10位,,,
郭浪滔,福建,泉州,福建省泉州市第一医院,内科,心内科,副主任医师,,2.9,9,高血压、冠心病,"36,296次",1篇,9位,9位,9位,,,
朱德晓,福建,泉州,福建省泉州市第一医院,内科,心内科,主治医师,,2.9,14,冠心病，心衰等,"4,435次",0篇,14位,14位,14位,,,
张雅慰,福建,泉州,福建省泉州市第一医院,内科,心内科,主治医师,,2.9,1,冠心病，高血压，心律失常,"4,105次",0篇,1位,0位,0位,,,
董永达,福建,泉州,福建省泉州市第一医院,内科,心内科,副主任医师,,2.9,116,高血压、冠心病、心衰等,,2篇,116位,88位,103位,,,
陈乘波,福建,泉州,福建省泉州市第一医院,内科,心内科,副主任医师,,2.9,,,,,,,,,,
吴志忍,福建,泉州,福建省泉州市第一医院,内科,心内科,住院医师,,2.9,1,高血压，冠心病，心衰，心律不齐等疾病的诊治,,0篇,1位,1位,1位,,,
郭南鸥,福建,泉州,福建省泉州市第一医院,内科,心内科,主任医师,,2.8,,心血管疾病的诊疗,,,,,,,,
施行舟,福建,泉州,福建省泉州市第一医院,内科,心内科,主任医师,,2.8,,心血管疾病的诊疗,,,,,,,,
许德星,福建,泉州,福建省泉州市第一医院,内科,心内科,副主任医师,,2.8,12,,,0篇,12位,12位,12位,,,
张玉彬,福建,泉州,福建省泉州市第一医院,内科,心内科,主治医师,,2.8,,,,,,,,,,
黄茜雯,福建,泉州,福建省泉州市第一医院,内科,心内科,主治医师,,2.8,,,,,,,,,,
曾伟军,福建,泉州,福建省泉州市第一医院,内科,心内科,主治医师,,2.8,,,,,,,,,,
王敏,福建,泉州,福建省泉州市第一医院,内科,心内科,主治医师,,2.8,,,,,,,,,,
林守卫,福建,泉州,福建省泉州市第一医院,内科,心内科,副主任医师,,2.8,,复杂冠心病介入治疗，先天性心脏病介入治疗,,,,,,,,
赖金狮,福建,泉州,福建省泉州市第一医院,内科,心内科,副主任医师,,2.8,,心血管内科、老年病,,,,,,,,
卓辉林,福建,泉州,福建省泉州市第一医院,内科,心内科,主治医师,,2.8,6,高血压、冠心病、心衰等,"27,398次",0篇,6位,1位,6位,,,
蔡荣耀,福建,泉州,福建省泉州市第一医院,内科,心内科,主治医师,,2.8,15,高血压、冠心病等,"31,709次",0篇,15位,9位,14位,,,
洪序溪,福建,泉州,福建省泉州市第一医院,内科,心内科,主治医师,,2.8,,,,,,,,,,
李德隆,福建,泉州,福建省泉州市第一医院,内科,心内科,主治医师,,2.8,,"心脏康复(心血管疾病患者的运动治疗、药物、营养.心理干预,和戒烟处方)和冠脉介入治疗。",,,,,,,,
王竟全,福建,泉州,福建省泉州市第一医院,内科,心内科,主治医师,,2.8,,,,,,,,,,
黄杰翔,福建,泉州,福建省泉州市第一医院,内科,心内科,住院医师,,2.7,,,,,,,,,,
张长青,福建,泉州,福建省泉州市第一医院,内科,消化内科,主任医师,副教授,3.1,81,消化系疾病（肝、胆、胰疾病）的诊断和放射及超声介入治疗；胃肠功能及动力性疾病诊治,"27,899次",1篇,81位,18位,18位,,,
黄志鹏,福建,泉州,福建省泉州市第一医院,内科,消化内科,主治医师,,3.4,3073,慢性肝病（肝炎，肝硬化，脂肪肝）、急性胰腺炎、消化道出血、消化性溃疡（胃溃疡、十二指肠溃疡）、胃息肉、肠息肉、食管胃底静脉曲张、消化道肿瘤（食管癌、胃癌、肝癌、结直肠癌）、幽门螺杆菌根除、肠道菌群调节、慢性胃炎、急性糜烂出血性胃炎、反流性食管炎、功能性消化不良、急性胃肠炎、腹泻、便秘、肠易激综合征、慢性结肠炎、缺血性肠病、胆道疾病（胆囊炎、胆管炎、胆石症）、腹水、肝脓肿、常见中毒性疾病的诊治。,"1,765,075次",218篇,3073位,1406位,1420位,3,1433例,1294例
王育斌,福建,泉州,福建省泉州市第一医院,内科,消化内科,副主任医师,,3.0,5,功能性胃肠病,"8,588次",0篇,5位,3位,3位,,,
黄奕森,福建,泉州,福建省泉州市第一医院,内科,消化内科,副主任医师,,3.0,59,幽门螺旋杆菌感染，功能性胃肠病等,"19,051次",0篇,59位,34位,34位,,,
林志金,福建,泉州,福建省泉州市第一医院,内科,消化内科,副主任医师,讲师,3.0,,消化系统常见病,"12,061次",0篇,0位,0位,0位,,,
柯元良,福建,泉州,福建省泉州市第一医院,内科,消化内科,副主任医师,,3.0,,消化系疾病（胃、肠、肝、胆、胰病）诊治,,,,,,,,
叶源春,福建,泉州,福建省泉州市第一医院,内科,消化内科,主治医师,,3.0,1,胃溃疡，十二指肠溃疡，消化不良，炎症性肠病，肠易激综合征，反流性疾病，胃肠道肿瘤等疾病的诊治，以及消化内镜下的活检，诊断，治疗等,"9,448次",0篇,1位,0位,0位,,,
陈昌欣,福建,泉州,福建省泉州市第一医院,内科,消化内科,主治医师,,3.0,75,电子胃肠镜精细诊断，放大内镜、染色内镜、食管支架及结肠支架置入术、营养管置入、ESD、EMR、EPMR、STER、消化道大出血急救、胃溃疡，十二指肠溃疡，功能性消化不良，炎症性肠病，肠易激综合征，反流性相关疾病，胃肠道肿瘤等疾病的诊治。,"63,147次",4篇,75位,6位,6位,,,
