姓名,省/直辖市,市/区,医院,科室类别,科室,职称,教育职称,综合推荐热度,在线问诊量,擅长,个人网站总访问,个人网站总文章,个人网站总患者,微信诊后报道患者,总诊后报到患者,诊后服务星,诊治后患者数,随访中患者数
朱鹏立,福建,福州,福建省立医院,内科,心血管内科,主任医师,教授,3.4,,冠心病、高血压病、血脂异常,,,,,,,,
浦晓东,福建,福州,福建省立医院,内科,心血管内科,主任医师,教授,3.3,,心血管专业冠心病、高血压等疾病的诊治，在高血压、冠心病及心血管病的介入治疗方面造诣,,,,,,,,
陈慧,福建,福州,福建省立医院,内科,心血管内科,主任医师,教授,3.5,1,心血管专业高血压疾病的诊治,"12,726次",0篇,1位,0位,0位,,,
陈斌,福建,福州,福建省立医院,内科,心血管内科,主任医师,教授,3.3,153,心血管疾病的诊治,"191,378次",0篇,153位,25位,87位,,,
卢荔红,福建,福州,福建省立医院,内科,心血管内科,主任医师,副教授,3.3,33,心血管内科常见疾病的诊断及治疗,"21,515次",0篇,33位,32位,32位,,,
林亚洲,福建,福州,福建省立医院,内科,心血管内科,主任医师,,3.3,42,1.运用射频导管消融治疗各种快速性心律失常，如阵发性室上速、心房颤动、房性心动过速、室性心动过速和各种类型的早搏； 2.植入装置治疗，如病窦综合征和房室传导阻滞的起搏治疗、心脏再同步治疗治疗心力衰竭、植入心律转复除颤器治疗恶性室性心律失常以及植入装置的随访。,"53,770次",0篇,42位,0位,0位,,,
陈海峰,福建,福州,福建省立医院,内科,心血管内科,主任医师,,3.3,3,高血压，急慢性心衰，冠心病，心律失常，心肌病，高血脂等内科常见疾病的诊治,"7,103次",0篇,3位,3位,3位,,,
陈德伟,福建,福州,福建省立医院,内科,心血管内科,副主任医师,副教授,3.3,49,心血管内科常见病（如：冠心病、高血压、风心病、心肌病、心包疾病、心肌炎等）、心律失常及心衰的诊断和治疗、急重症病人的抢救、疑难病例的分析，在超声心动图、各种复杂的先天性心脏病的诊断方面造诣,"97,453次",0篇,49位,44位,49位,,,
白玉茹,福建,福州,福建省立医院,内科,心血管内科,主任医师,教授,3.3,,高血压及心血管疾病的诊治,,,,,,,,
陈林,福建,福州,福建省立医院,内科,心血管内科,主任医师,副教授,3.3,56,心内专业心律失常疾病的诊治、各型心动过速的射频消融治疗和心脏起搏器安置术包括房速、室速、预激综合征并室上速、房室结双径路并室上速的射频消融术，各型心脏起搏器包括三腔（双心室+右心房 双心房+右心室）、四腔（双心房+双心室）、ICD等起搏器,"195,097次",0篇,56位,0位,1位,,,
邓玉莲,福建,福州,福建省立医院,内科,心血管内科,主任医师,教授,3.3,,心律失常、心肌炎、心血管病疑难病症,,,,,,,,
许春萱,福建,福州,福建省立医院,内科,心血管内科,主任医师,教授,3.3,,心内科专业心血管疾病的诊治、心脏介入技术等，在心律失常方面造诣,,,,,,,,
刘鸿闽,福建,福州,福建省立医院,内科,心血管内科,主任医师,,3.3,90,高血压、冠心病、心衰,"43,603次",0篇,90位,86位,87位,,,
柯俊,福建,福州,福建省立医院,内科,心血管内科,副主任医师,,3.3,,心血管急危重症、冠心病、高血压、心肌炎、心肌病及心衰的诊治，冠心病的介入治疗,,,,,,,,
林皓平,福建,福州,福建省立医院,内科,心血管内科,主任医师,副教授,3.3,,心血管专业内科疾病的诊治,,,,,,,,
俞玲,福建,福州,福建省立医院,内科,心血管内科,主任医师,,3.3,33,高血压病及各种心血管内科疾病的诊治,"12,095次",9篇,33位,33位,33位,,,
陈新敬,福建,福州,福建省立医院,内科,心血管内科,主任医师,,3.3,28,冠心病、高血压病、心肌病、肺动脉高压、心力衰竭等心血管疾病,"23,690次",0篇,28位,25位,28位,,,
杨柳青,福建,福州,福建省立医院,内科,心血管内科,主任医师,,3.2,152,高血压，急慢性心衰，冠心病，心律失常，心肌病，高血脂等内科疾病的诊治,,0篇,0位,152位,152位,,,
关瑞锦,福建,福州,福建省立医院,内科,心血管内科,主任医师,,3.2,,冠心病（心肌梗死）、先天性心脏病、血脂异常、高血压以及各种疑难、复杂心血管疾病的诊疗、冠心病的介入治疗、心脏起搏器的安置技术等，在冠心病、先天性心脏病、血脂异常、高血压方面造诣,,,,,,,,
黄鼎三,福建,福州,福建省立医院,内科,心血管内科,主任医师,,3.2,,心血管专业冠心病的诊治、PTCA技术等,,,,,,,,
吴志勇,福建,福州,福建省立医院,内科,心血管内科,主任医师,,3.2,,心血管内科疾病的诊治,,,,,,,,
林风辉,福建,福州,福建省立医院,内科,心血管内科,主任医师,,3.2,,心血管疾病的诊治,,,,,,,,
陈威,福建,福州,福建省立医院,内科,心血管内科,副主任医师,,3.2,175,冠心病，高血压等相关疾病诊治,"67,473次",7篇,175位,133位,141位,,,
林敏玉,福建,福州,福建省立医院,内科,心血管内科,主任医师,,3.2,,心血管内科疾病的诊治、高血压、冠心病、心血管疑难病症,,,,,,,,
王五一,福建,福州,福建省立医院,内科,心血管内科,主任医师,,3.2,,心血管疾病、心律失常的诊治,,,,,,,,
陈诗泉,福建,福州,福建省立医院,内科,心血管内科,主任医师,,3.2,,心血管疾病诊治，在冠心病诊治及研究，介入性心血管病诊断治疗，心脏起搏术方面造诣,,,,,,,,
郭延松,福建,福州,福建省立医院,内科,心血管内科,主任医师,,3.2,,心血管内科疾病的诊治,,,,,,,,
李雪玲,福建,福州,福建省立医院,内科,心血管内科,主任医师,,3.2,,心血管专业心内科疾病的诊治，在高血压、冠心病、心肌病、周围血管病、高粘血症等方面造诣,,,,,,,,
