青岛越海昌国际贸易有限公司,青岛越海昌国际贸易有限公司企业简介 青岛越海昌国际贸易有限公司成立于2013年11月18日，是一家进出口贸易为主的食品贸易型的有限责任公司，公司注册资金100万人民币。主要经营进口美国、智利、巴西、印度等国的浓缩果蔬汁原料为主，还有各种天然水果食用香精及食品添加剂，同时跟国内八家浓缩果蔬汁生产工厂合作达成经营具有中国特色的水果浓缩汁、蔬菜浓缩汁、果粉和蔬菜粉；公司还为客户提供多种技术咨询服务的交钥匙工程：包括食品饮料工厂设计、设备工艺布局、设备安装调试生产到成品出产；长期为客户做产品配方设计、研发新产品。,食用香精，Food flavor，蓝莓浓缩汁，Blueberry concentrate，浓缩果汁，Concentrated juice，蓝莓浓缩汁，Blueberry concentrate，浓缩果汁，浓缩果汁，浓缩果汁，浓缩果汁
河南天纤益康科技有限公司,河南天纤益康科技有限公司是集研发、生产、经营为一体的膳食纤维专业生产商。公司理念“膳食纤维大众化、大众食品功能化”。 公司可为烘焙类、保健品类、特殊膳食类、饮料类、冷冻食品类等食品行业提供高纤健康食品原料、工艺配方设计等。公司现已开发产品主要有：膳食纤维系列：聚葡萄糖（可溶性膳食纤维）、小麦膳食纤维、怀山药膳食纤维、燕麦膳食纤维、大豆膳食纤维；四大怀药系列：怀山药高纤粉、怀菊花高纤粉。 企业愿景“做中国膳食纤维产业的领跑者”；企业使命“为人类提供高纤无糖健康产品”；企业核心价值观“创新经营、厚德载物”。,燕麦膳食纤维，OAT DIETARY FIBER，燕麦膳食纤维，Oat dietary fiber，怀山药膳食纤维粉，Huai Yam dietary fiber，燕麦膳食纤维，Oat dietary fiber，怀山药膳食纤维粉，Huai Yam dietary fiber，大豆膳食纤维，SOY BEAN DIETARY FIBER，小麦膳食纤维，WHEAT DIETARY FIBER，怀山药膳食纤维，HUAIYAM DIETARY FIBER，聚葡萄糖，Polydextrose，聚葡萄糖，P0LYDEXTROSE，小麦膳食纤维，Wheat dietary fiber，小麦膳食纤维，Wheat dietary fiber，聚葡萄糖，Polydextrose
湖南今汉药业有限公司,湖南今汉药业有限公司成立于2006年，是一家致力于技术创新和绿色制造的综合型企业。公司主要从事植物中草药绿色种植，健康产品研发、生产、销售和技术服务，为传统工业提供天然解决方案和综合技术服务。公司坚持以“创新健康解决方案/Innovative Healthcare Solutions”为发展方向，以“汇今朝科技，扬汉方精粹”为企业愿景，旨在以国际化标准和视野来实现公司的创新成果，为国内外药品、食品、保健品和饲料行业企业提供天然解决方案和综合技术服务。,桑叶提取物，Mulberry extract，葫芦巴提取物，fenugreek extract，葫芦巴提取物，fenugreek extract，葫芦巴提取物，fenugreek extract，迷迭香提取物，rosemary extract，桑叶提取物，mulberry extract，葫芦巴提取物，fenugreek extract，葫芦巴提取物，fenugreek extract，迷迭香提取物，rosemary extract，当归提取物，Angelica sinensis extract，桑叶提取物，mulberry extract，油茶籽提取物，tea saponins，油茶籽提取物，tea saponins，油茶籽提取物，tea saponins，桑叶提取物，mulberry extract，油茶籽提取物，tea saponins，桑叶提取物，mulberry extract，迷迭香提取物，rosemary extract，迷迭香提取物，rosemary extract，迷迭香提取物，rosemary extract
广州联丰香料科技有限公司,"广州联丰香料科技有限公司坐落于广州高新技术产业区科学城。 国际化的管理、研发和质量保证团队专注于为客户研制开发世界一流品质的香精香料产品,我们相信在饮料、乳制品、冰制品、糖果、烘焙食品、休闲食品、肉制品、调味品、口腔护理品、药品、烟草制品、家居洗涤剂、空气清新剂、清洁用品、护肤品、香水、精油产品、汽车护理品、环境用品、蜡烛、佛香产品中都会让消费者感受到我们所倾注的激情,诚恳和专业。",香精香料，FLAVOR FRAGRANCE，香精香料，FLAVOR FRAGRANCE，食品香精，FLAVOR
四川省丽通食品有限公司,自2004年创立以来，丽通始终专注致力于发酵食品，公司拥有建筑面积30000㎡的生产现场，标准化全封闭生产车间，自动化生产线，在业内实现了原材料、半成品、成品管道运输、自动灌装，年产能10万吨；专业研发突破行业人工制曲中存在的技术难题，打造“行业首个”数字化制曲车间，一举将成曲酶活数量提升40%以上，蚕豆发酵更充分，酱香更浓郁。同时公司在海外拥有3万亩的辣椒基地,郫县豆瓣酱，Pixian bean paste，郫县豆瓣酱，Pixian bean paste
广州市华恭生物科技有限公司,广州市华恭生物科技有限公司是一家依托华南理工大学食品学院为技术后盾，致力于为客户提供食品原料配料，添加剂供应，食品技术咨询和服务方案的专业化公司。公司专注于烘焙、乳品，饮料，冰淇淋，糖果等行业和领域，希望成为中国最具活力和潜力的企业。公司拥有多个专家和博士，多项获奖和有市场竞争力的的技术成果。华恭用专业，高效，诚信的服务，旨在搭建一个让客户，供应商及员工三方共赢的平台。,乳化剂，emulsifying agent，乳化剂，emulsifying agent，乳化剂，emulsifying agent
上海康宜环保科技有限公司,上海康宜环保科技有限公司，座落于上海浦东金桥出口加工区。公司研制开发了工业臭氧发生器，空气净化设备、水质处理器、手部消毒器等环保产品。 康宜公司主要从事食品厂、制药厂、化妆品厂的环境安全相关的业务，研制生产、销售空气处理臭氧发生器、水处理臭氧发生器、有人在线空气消毒机、工业消毒柜、空气净化设备，并承接食品保鲜工程、环保工程咨询、设计、施工、调试等服务。,手部消毒器，hand dryer，除湿机，dehumidifier，臭氧发生器，Ozone generator，臭氧发生器，Ozone generator，干手机，hand dryer，空气净化设备，air purification equipment，手部消毒器，hand disinfector，除湿机，dehumidifier，臭氧发生器，Ozone generator，空气净化设备，air purification equipment，干手机，hand dryer，洁净风淋室，purified air showering room，空气净化设备，air purification equipment，手部消毒器，hand dryer，手部消毒器，hand dryer，空气净化机，air purification equipment，臭氧发生器，Ozone generator，干手机，hand dryer，干手机，hand dryer，除湿机，dehumidifier，感应水龙头，inductive faucet，除湿机，dehumidifier
乐凯华光印刷科技有限公司西峡分公司,company not found
滕州瑞元香料有限公司,滕州瑞元香料有限公司是专业生产杂环类合成香料的主要厂家，至今具有近30年的生产优秀食用级杂环类香料的历史和经验，有占地 80000 平方米的生产工厂。瑞元目前生产杂环类香料200余种，具备年产呋喃酮500吨、2-乙酰基吡啶200吨、硫噻唑100吨、2-甲基-3-巯基呋喃50吨、2-乙酰基噻唑30吨的生产能力。瑞元已成为能大批量提供高品质吡嗪、噻唑、呋喃、吡咯、吡啶、含硫类等系列合成香料的生产基地。,巯基呋喃，2-Methyl-3-mercapto furan，2-乙酰基吡嗪，2-Acetyl pyrazine，2-乙酰基吡啶，2-Acetyl Pyridine，2-乙酰基吡嗪，2-Acetyl pyrazine，2-甲基-3-巯基呋喃，2-Methyl-3-mercapto furan，硫噻唑，Sulfurol，呋喃酮，Strawberry Furanone，2-甲基-3-四氢呋喃硫醇，2-Methyltetrahydrofuran-3-mercaptan，呋喃酮，Strawberry Furanone，呋喃酮，Strawberry Furanone，2.3.5-三甲基吡嗪，2.3.5-trimethyl pyrazine，2-乙酰基吡啶，2-Acetyl pyridine，2-乙酰基噻唑，2-Acetyl thiazole，2-乙酰基吡嗪，2-Acetyl Pyrazine，2-乙酰基噻唑，2-Acetyl thiazole，硫噻唑，Sulfurol，2-乙酰基吡啶，2-Acetyl pyridine，巯基呋喃，2-Methyl-3-mercapto furan
珠海天香苑生物科技发展股份有限公司,珠海天香苑生物科技发展股份有限公司（股票代码：831060，证券简称：天香苑）创立于2010年，系现代生物高新技术企业，致力于深度开发酵母新技术、新工艺，为人类高端食品、健康产品，动物保健品提供优质资源。公司产品广泛应用于高端食品、保健食品、化妆品、饲料添加剂、生化培养基等领域。公司坚持“生物科技、造福人类”的宗旨，力争建成技术先进，管理科学，人才一流，勇于创新的企业。,酵母浸粉，Yeast Extract Powder，酵母多肽粉，Yeast Polypeptide powder，酵母抽提物，Yeast Extract，酵母抽提物，Yeast Extract，酵母浸粉，Yeast Extract Powder，酵母β-葡聚糖，Yeast β-Glucan，甘露寡糖，Mannose oligosaccharide，富硒酵母蛋白粉，Selenium-enriched yeast protein powde，酵母β-葡聚糖，Yeast β-dextran，酵母浸膏，Yeast extract fermentation，酵母β-葡聚糖，Yeast β-Glucan，酵母浸膏，Yeast extract fermentation，酿酒酵母，Saccharomycescervisae，羧甲基酵母β-葡聚糖，CARBOXYMETHYL Yeast β-dextran，酵母抽提物，Yeast Extract，酵母多肽粉，Yeast Polypeptide powder，酵母蛋白，Yeast Protein，酵母蛋白，Yeast Protein，富硒酵母蛋白粉，Selenium-enriched yeast protein powder，酵母β-葡聚糖，Yeast β-Glucan
