學號	平時成績	期末成績
2000014000	58	68
2000014001	59	77
2000014002	95	79
2000014003	50	56
2000014004	51	62
2000014005	75	100
2000014006	77	56
2000014007	56	53
2000014008	50	82
2000014009	94	51
2000014010	52	94
2000014011	79	86
2000014012	58	78
2000014013	53	63
2000014014	69	95
2000014015	75	79
2000014016	76	84
2000014017	73	78
2000014018	94	71
2000014019	73	72
2000014020	100	85
2000014021	54	81
2000014022	57	52
2000014023	54	68
2000014024	60	84
2000014025	96	70
2000014026	56	86
2000014027	91	96
2000014028	91	76
2000014029	55	76
2000014030	94	80
2000014031	60	60
2000014032	71	89
2000014033	59	63
2000014034	56	53
2000014035	82	75
2000014036	79	83
2000014037	83	54
2000014038	73	70
2000014039	93	59
2000014040	97	71
2000014041	89	80
2000014042	92	75
2000014043	80	99
2000014044	73	79
2000014045	69	96
2000014046	77	77
2000014047	69	98
2000014048	51	74
2000014049	97	85
2000014050	57	70
2000014051	64	76
2000014052	95	83
2000014053	88	60
2000014054	86	72
2000014055	69	82
2000014056	74	57
2000014057	86	100
2000014058	89	57
2000014059	96	55
2000014060	67	68
2000014061	87	59
2000014062	87	100
2000014063	87	84
2000014064	91	87
2000014065	100	92
2000014066	79	86
2000014067	91	67
2000014068	51	68
2000014069	80	73
2000014070	90	96
2000014071	89	80
2000014072	80	99
2000014073	69	87
2000014074	90	99
2000014075	84	69
2000014076	98	66
2000014077	78	89
2000014078	78	83
2000014079	72	60
2000014080	97	53
2000014081	59	50
2000014082	86	94
2000014083	74	85
2000014084	52	98
2000014085	84	92
2000014086	86	98
2000014087	80	74
2000014088	100	54
2000014089	85	73
2000014090	83	100
2000014091	57	56
2000014092	56	56
2000014093	65	71
2000014094	100	56
2000014095	51	80
2000014096	98	99
2000014097	55	79
2000014098	66	93
2000014099	56	71
2000014100	93	60
2000014101	98	58
2000014102	70	86
2000014103	58	54
2000014104	100	57
2000014105	85	60
2000014106	72	54
2000014107	64	75
2000014108	75	79
2000014109	59	59
2000014110	86	80
2000014111	94	70
2000014112	90	60
2000014113	63	70
2000014114	69	83
2000014115	66	53
2000014116	90	81
2000014117	99	65
2000014118	73	97
2000014119	66	90
2000014120	91	90
2000014121	81	50
2000014122	83	89
2000014123	81	90
2000014124	72	73
2000014125	63	55
2000014126	98	94
2000014127	50	72
2000014128	93	81
2000014129	70	84
2000014130	75	91
2000014131	61	60
2000014132	81	66
2000014133	96	56
2000014134	55	62
2000014135	50	79
2000014136	57	79
2000014137	67	68
2000014138	89	83
2000014139	62	71
2000014140	80	95
2000014141	75	55
2000014142	97	97
2000014143	75	89
2000014144	89	76
2000014145	86	63
2000014146	74	71
2000014147	51	75
2000014148	98	69
2000014149	60	53
2000014150	75	57
2000014151	100	52
2000014152	98	62
2000014153	96	73
2000014154	77	92
2000014155	100	78
2000014156	62	56
2000014157	60	78
2000014158	72	81
2000014159	85	71
2000014160	94	64
2000014161	65	78
2000014162	58	68
2000014163	84	67
2000014164	87	67
2000014165	91	86
2000014166	88	87
2000014167	79	95
2000014168	70	83
2000014169	54	70
2000014170	54	96
2000014171	77	51
2000014172	52	59
2000014173	82	97
2000014174	57	60
2000014175	69	90
2000014176	58	90
2000014177	69	97
2000014178	78	98
2000014179	60	55
2000014180	69	74
2000014181	89	55
2000014182	90	64
2000014183	54	93
2000014184	79	82
2000014185	95	70
2000014186	55	68
2000014187	73	83
2000014188	90	55
2000014189	91	60
2000014190	58	60
2000014191	95	54
2000014192	60	81
2000014193	64	50
2000014194	58	66
2000014195	56	83
2000014196	87	77
2000014197	97	69
2000014198	87	96
2000014199	53	63
