學號	總評成績
2000014096	98.60
2000014142	97.00
2000014126	95.60
2000014074	95.40
2000014065	95.20
2000014062	94.80
2000014057	94.40
2000014027	94.00
2000014070	93.60
2000014090	93.20
2000014086	93.20
2000014198	92.40
2000014043	91.40
2000014072	91.40
2000014020	91.00
2000014173	91.00
2000014082	90.80
2000014120	90.40
2000014005	90.00
2000014178	90.00
2000014049	89.80
2000014140	89.00
2000014085	88.80
2000014064	88.60
2000014167	88.60
2000014165	88.00
2000014052	87.80
2000014118	87.40
2000014166	87.40
2000014155	86.80
2000014122	86.60
2000014047	86.40
2000014123	86.40
2000014154	86.00
2000014128	85.80
2000014177	85.80
2000014030	85.60
2000014002	85.40
2000014138	85.40
2000014063	85.20
2000014045	85.20
2000014014	84.60
2000014077	84.60
2000014116	84.60
2000014130	84.60
2000014041	83.60
2000014071	83.60
2000014143	83.40
2000014011	83.20
2000014066	83.20
2000014110	82.40
2000014098	82.20
2000014153	82.20
2000014028	82.00
2000014042	81.80
2000014032	81.80
2000014175	81.60
2000014036	81.40
2000014040	81.40
2000014144	81.20
2000014078	81.00
2000014196	81.00
2000014016	80.80
2000014184	80.80
2000014083	80.60
2000014148	80.60
2000014025	80.40
2000014119	80.40
2000014018	80.20
2000014197	80.20
2000014185	80.00
2000014073	79.80
2000014084	79.60
2000014102	79.60
2000014111	79.60
2000014170	79.20
2000014187	79.00
2000014076	78.80
2000014117	78.60
2000014129	78.40
2000014035	77.80
2000014089	77.80
2000014168	77.80
2000014054	77.60
2000014015	77.40
2000014108	77.40
2000014114	77.40
2000014158	77.40
2000014183	77.40
2000014010	77.20
2000014176	77.20
2000014046	77.00
2000014055	76.80
2000014044	76.60
2000014067	76.60
2000014159	76.60
2000014087	76.40
2000014152	76.40
2000014017	76.00
2000014160	76.00
2000014069	75.80
2000014075	75.00
2000014164	75.00
2000014024	74.40
2000014182	74.40
2000014104	74.20
2000014026	74.00
2000014101	74.00
2000014163	73.80
2000014094	73.60
2000014100	73.20
2000014161	72.80
2000014039	72.60
2000014124	72.60
2000014192	72.60
2000014019	72.40
2000014088	72.40
2000014189	72.40
2000014146	72.20
2000014195	72.20
2000014145	72.20
2000014112	72.00
2000014132	72.00
2000014133	72.00
2000014180	72.00
2000014059	71.40
2000014038	71.20
2000014051	71.20
2000014053	71.20
2000014151	71.20
2000014157	70.80
2000014080	70.60
2000014107	70.60
2000014191	70.40
2000014021	70.20
2000014061	70.20
2000014136	70.20
2000014012	70.00
2000014105	70.00
2000014001	69.80
2000014058	69.80
2000014097	69.40
2000014008	69.20
2000014188	69.00
2000014093	68.60
2000014181	68.60
2000014095	68.40
2000014009	68.20
2000014029	67.60
2000014060	67.60
2000014137	67.60
2000014135	67.40
2000014139	67.40
2000014113	67.20
2000014037	65.60
2000014147	65.40
2000014099	65.00
2000014048	64.80
2000014050	64.80
2000014079	64.80
2000014006	64.40
2000014150	64.20
2000014000	64.00
2000014162	64.00
2000014056	63.80
2000014169	63.60
2000014127	63.20
2000014141	63.00
2000014194	62.80
2000014186	62.80
2000014023	62.40
2000014121	62.40
2000014033	61.40
2000014171	61.40
2000014068	61.20
2000014106	61.20
2000014131	60.40
2000014031	60.00
2000014190	59.20
2000014134	59.20
2000014013	59.00
2000014109	59.00
2000014199	59.00
2000014174	58.80
2000014156	58.40
2000014115	58.20
2000014125	58.20
2000014004	57.60
2000014179	57.00
2000014091	56.40
2000014172	56.20
2000014092	56.00
2000014149	55.80
2000014103	55.60
2000014193	55.60
2000014007	54.20
2000014034	54.20
2000014022	54.00
2000014003	53.60
2000014081	53.60
